name,reading,meaning,example
嗚呼,ああ,物事に深く感じたり驚いたりした気持ちを直接表す語。,433
愛飲,あいいん,いつも好んで飲むこと。,232
哀婉,あいえん,あわれで美しく、しとやかなさま。,9
哀歌,あいか,悲しい気持ちを表した歌。悲歌。エレジー。,245
合鍵,あいかぎ,その錠に合う別の鍵。複製の鍵や親鍵（マスターキー）など。,744
哀感,あいかん,もの悲しい感じ。悲しみや哀れを誘う感じ。,186
哀願,あいがん,事情を述べて相手の同情心に訴え、ひたすら頼むこと。,1706
愛玩,あいがん,大切にし、かわいがること。多く、小さな動物についていう。また、いつくしみ楽しむこと。,826
愛機,あいき,日ごろ好んで使い、大事にしている写真機などの機器。また、愛用の飛行機。,301
相客,あいきゃく,１同じ場所で、たまたまそこに来合わせた客。２旅館などで、他の客と相部屋になること。また、その客どうし。,173
哀求,あいきゅう,事情を述べ、相手の同情に訴えて願い求めること。,13
哀泣,あいきゅう,悲しんで泣くこと。,18
哀叫,あいきょう,悲しそうに泣き叫ぶこと。,0
愛嬌,あいきょう,１にこやかで、かわいらしいこと。２ひょうきんで、憎めない表情・しぐさ。３相手を喜ばせるような言葉・振る舞い。４座に興を添えるもの。ちょっとしたサービス。座興。,2626
愛顧,あいこ,目をかけ引き立てること。引き立てられる側からいう語。ひいき。,155
愛護,あいご,１かわいがって庇護すること。２歌舞伎の稚児(ちご)用のかつらの一。,707
愛好,あいこう,その事が好きで楽しむこと。,5508
哀号,あいごう,人の死を悲しんで大声で泣き叫ぶこと。また、その泣き声。,45
哀哭,あいこく,声をあげて泣き悲しむこと。,39
愛国,あいこく,自分の国を愛すること。,3365
愛妻,あいさい,１愛し、大切にしている妻。２妻を大事にすること。,454
挨拶,あいさつ,１人に会ったときや別れるときなどに取り交わす礼にかなった動作や言葉。２会合の席や集会で、改まって祝意や謝意などを述べること。また、その言葉。３相手に対して敬意や謝意などを表すこと。また、その動作や言葉。４相手の非礼な言葉や態度を皮肉っていう語。５やくざや不良仲間で、仕返しをいう語。６争い事の中に立って仲裁すること。また、その人。７応答のしかた。口のきき方。８人と人との間柄。仲。,23756
愛社,あいしゃ,自分の勤務する会社を大切に思うこと。,42
