name,reading,meaning,example
場合,ばあい,１ 物事が行われているときの状態・事情。局面。２ もし、ある事が起こったとき。そうなった折。３ …に関して。…について言えば。,260535
梅雨,ばいう,6月上旬から7月上・中旬にかけて、本州以南から朝鮮半島、揚子江流域に顕著に現れる季節的な雨。,2577
買価,ばいか,物を買うときの値段。買い値。,0
売価,ばいか,物を売るときの値段。売り値。,123
媒介,ばいかい,１ 両方の間にはいって仲立ちをすること。橋渡し。多く、病原菌をうつすこと。１ 他人の間に立って、他人を当事者とする法律行為の成立に尽力する事実行為。商行為の媒介を営業として行う者を仲立人という。１ ヘーゲルの用語。有限なものが単独では存在せず、他の有限なものとの関係において成立していること。また、個々のものをそのような関係において把握すること。,2350
売却,ばいきゃく,売りはらうこと。,8313
黴菌,ばいきん,人体に有害な細菌などの微生物の俗称。転じて、汚いものや厄介もののたとえ。,164
売国,ばいこく,私利などのために、敵国に通じて、自国の不利になることをすること。,89
媒材,ばいざい,１ 媒介となる材料。２ 絵の具をとく溶剤。,9
媒酌,ばいしゃく,結婚の仲立ちをすること。また、その人。。,198
買収,ばいしゅう,１ 買い取ること。買いおさえること。２ ひそかに利益を与えて、自分の有利になるように人を動かすこと。,9497
賠償,ばいしょう,１ 他の人に与えた損害をつぐなうこと。２ 国際法規違反により他国に与えた損害、また敗戦国が戦勝国に与えた損害の補償として金品その他を提供すること。,4775
陪審,ばいしん,法律の専門家でない人が、裁判の審理に参加し、有罪・無罪の判断を行うこと。,2238
煤塵,ばいじん,工場の煙突の煙や、鉱山・石切り場などの塵(ちり)の中に含まれている微粒子。,20
倍数,ばいすう,ある整数の何倍かの数。整数aが整数bで割りきれるとき、aはbの倍数であるという。⇔約数。,373
媒染,ばいせん,染料が直接に繊維に染着しないとき、繊維を媒染剤の溶液に浸して染料を固着させる染色法。,26
焙煎,ばいせん,１ コーヒー豆などを焙(ほう)じて煎(い)ること。２ 沖縄の泡盛。酒名は、原料の米を麹付けする前に焙煎にかける製法に由来。16年古酒。平成5年(1993)から1年間のみ販売。原料はタイ米、黒麹。アルコール度数30％。蔵元の「請福酒造」は昭和24年(1949)創業。,226
倍増,ばいぞう,2倍にふえること。2倍にふやすこと。倍まし。,892
媒体,ばいたい,１ なかだちをするもの。媒介するもの。２ 情報伝達の媒介手段となるもの。新聞・ラジオ・テレビなど。メディア。３ メモリーや磁気ディスクなど、データの記憶媒体のこと。,3730
売店,ばいてん,物を売る店。特に、病院・劇場・遊園地などの施設内の小さな店。,3137
買電,ばいでん,電力会社が、自家発電設備を持つ企業や太陽光発電設備を持つ家庭などから余った電力を買うこと。,11
売電,ばいでん,自家発電設備を持つ企業や太陽光発電設備を持つ一般家庭などが、余った電力を電力会社などに売ること。,80
梅肉,ばいにく,梅干しの種子を取り除いた果肉。すりつぶし、あえ物などに用いる。,46
売買,ばいばい,１ 売ることと、買うこと。売ったり買ったりすること。うりかい。２ 民法で、当事者の一方が財産権を相手方に移転することを約束し、相手方がこれに対して代金を支払うことを約束する契約。売買契約。,4534
売文,ばいぶん,文章を書き、それを売った報酬で生計を立てること。,116
売名,ばいめい,自分の名前を広く世間に知らせるようにすること。,175
売薬,ばいやく,１ あらかじめ製造・調合されて、市販されている薬。２ 薬を売ること。,296
培養,ばいよう,１ 草木を養い育てること。２ 動植物の胚や組織または微生物を人工的に生活・発育・増殖させること。３ 物事の根本を養い育てること。,2430
倍率,ばいりつ,１ ある数が他の数の何倍であるかを示す比率。また特に、競争率。２ 光学器械を通して目に見える大きさと、実物の大きさとの比。,1082
倍量,ばいりょう,ある量の、2倍の量。,62
馬鹿,ばか,１ 知能が劣り愚かなこと。また、その人や、そのさま。人をののしっていうときにも用いる。あほう。２ 社会的な常識にひどく欠けていること。また、その人。３ つまらないこと。無益なこと。また、そのさま。４ 度が過ぎること。程度が並はずれていること。また、そのさま。５ 用をなさないこと。機能が失われること。また、そのさま。,16193
場数,ばかず,経験した数。多くの経験。,231
麦雨,ばくう,麦が熟するころ降る雨。五月雨(さみだれ)。,3
爆音,ばくおん,１ 火薬などの爆発する際の音響。爆発音。２ 内燃機関で、混合気の爆発・排気の際に発する音。特に、飛行機・オートバイのエンジンの音。３ 俗に、非常に大きな音。,1902
爆撃,ばくげき,飛行機から爆弾などを投下して攻撃すること。,11442
爆砕,ばくさい,爆発物を用いて物を打ち砕くこと。,150
爆殺,ばくさつ,爆弾・爆薬を用いて人を殺すこと。,262
駁雑,ばくざつ,入りまじって純一でないこと。また、そのさま。,0
爆死,ばくし,爆弾・火薬・ガスなどの爆発によって死ぬこと。,358
麦酒,ばくしゅ,１ 麦を醸造した酒の総称。２ ビール。,528
爆傷,ばくしょう,爆弾やガスなどの爆発によって受けた傷。爆創。,17
爆笑,ばくしょう,大勢の人がどっと笑うこと。また、その笑い。,1590
爆心,ばくしん,爆撃・爆発の中心部。,450
驀進,ばくしん,まっしぐらに進むこと。,410
爆睡,ばくすい,起こそうとしても目が覚めないくらい深く眠ること。,57
瀑声,ばくせい,滝の音。,2
駁説,ばくせつ,他人の説を攻撃すること。また、その論説。駁論。,0
漠然,ばくぜん,ぼんやりとして、はっきりしないさま。広くてはてしのないさま。,268
莫大,ばくだい,程度や数量がきわめて大きいさま。,5521
爆弾,ばくだん,１ 爆薬を充塡(じゅうてん)し、投下または投擲(とうてき)して爆発させ、人や施設を殺傷・破壊するための兵器。２ 突然に周囲を大きく混乱させるもの、また重大な危険のたとえ。３ おでんの種にする、ゆで卵を芯にしたさつま揚げ。４ 第二次大戦後の混乱期に出まわった、粗悪な密造焼酎(しょうちゅう)。５ トウモロコシ・米などの穀粒を加熱・加圧してはじけさせた食品。爆弾あられ。,12444
博打,ばくち,１ 賽(さい)・花札・トランプなどを用い、金品をかけて勝負を争うこと。賭博(とばく)。ばくえき。２ 偶然の成功をねらってする危険な試み。,848
爆沈,ばくちん,艦船が爆発して沈没すること。また、敵艦船を爆弾などで沈没させること。,167
博徒,ばくと,ばくち打ち。,712
爆破,ばくは,爆発物を用いて破壊すること。,3710
漠漠,ばくばく,１ 広々として果てしないさま。２ ぼんやりとしているさま。とりとめのないさま。,2
