name,reading,meaning,example
臥位,がい,寝た姿。寝た状態。,22
害悪,がいあく,他に災いを与えるような、よくない事。,354
外圧,がいあつ,外部から働く力。外部からの強い干渉。,156
外囲,がいい,１ 宅地などの囲い。そとがこい。２ 生物体を取り囲むすべてのもの。,49
害意,がいい,他人を、傷つけよう、害を与えようという気持ち。,232
外因,がいいん,１ 物事について外部から生じた原因。２ 生体に病気をもたらす、外界の原因。病原微生物や化学物質・温度などの刺激。,144
外援,がいえん,よそからの助け。ほかからの援助。,0
外炎,がいえん,炎(ほのお)の外側の部分。,0
外縁,がいえん,外側のへり。外側にそったところ。,1259
外貨,がいか,１ 外国の貨幣。２ 外国の品物・商品。,997
外海,がいかい,１ 周囲を陸地などに囲まれていない海。また、陸地から遠く離れた海。そとうみ。２ 海外の地。外国。,610
外界,がいかい,１ 外の世界。まわりの世界。２ 哲学で、意識から独立してその外部に存在するすべてのもの。客観的実在の世界。,2707
外核,がいかく,地球の核のうち、内核の外側の部分。,53
外郭,がいかく,１ 城の外周に巡らしたくるわ。がいかく。とぐるわ。２ 外側の囲い。また、外まわりの区画。がいかく。,1075
概括,がいかつ,１ 内容のあらましをまとめること。２ 論理学で、さまざまな事物に共通する性質を抽象し、その性質を一つの概念にまとめること。一般化。,284
外観,がいかん,外側から見た感じ。見かけ。うわべ。外見。,8453
概観,がいかん,物事のあらましを見渡すこと。また、大体のありさま。,546
外気,がいき,戸外の空気。外の空気。,1126
咳気,がいき,せきが出ること。また、せきの多く出る病気をいう。,0
概況,がいきょう,大体のようす。,153
外勤,がいきん,会社などで、受注・販売・集金などのような、外回りの仕事を担当すること。また、その人。,108
街区,がいく,市街地で、道路に囲まれた一区画。街郭。ブロック。,1230
外形,がいけい,外から見た形またはようす。見かけ。,1072
外径,がいけい,円筒形や球形の物体の外側の直径。,97
概形,がいけい,おおまかな形。だいたいの形。でこぼこした形をならして直線などを使って表した形。,41
概計,がいけい,おおよその計算。大体の数量・金額など。概算。,0
外見,がいけん,１ 外側から見たようす。外観。うわべ。そとみ。２ 他人に見せること。また、他人に見られること。３ 星新一のショートショート作品。かぼちゃの馬車に収録。,9398
外交,がいこう,１ 外国との交渉・交際。国家相互の関係。ディプロマシー。２ 外部との交渉・交際。特に会社・商店などで、外部に出て勧誘・受注などの仕事をすること。また、その人。,15382
外向,がいこう,興味・関心が外部の物事に向かいがちな性格上の傾向。,142
