name,reading,meaning
把握,はあく,１ しっかりとつかむこと。手中におさめること。２ しっかりと理解すること。
廃案,はいあん,議決・採用されずに廃止となった議案・提案など。
敗因,はいいん,敗れた原因。
廃液,はいえき,不用になって捨てられる液体。
拝謁,はいえつ,身分の高い人に面会することをへりくだっていう語。
排煙,はいえん,１ 煙突などから吐き出す煙。２ 中の煙を外に出すこと。
廃屋,はいおく,１ 住む人がないままに、荒れはてた家屋。廃家(はいか)。２ 星新一のショートショート作品。ちぐはぐな部品に収録。
配下,はいか,ある人の支配下にあること。また、その者。手下。
徘徊,はいかい,１ 目的もなく、うろうろと歩きまわること。うろつくこと。２ 葛藤からの逃避、精神病・認知症などにより、無意識のうちに目的なく歩きまわること。
廃刊,はいかん,新聞・雑誌などの定期刊行物の刊行を廃止すること。
廃艦,はいかん,耐用年数の過ぎた軍艦を艦籍から除くこと。また、その軍艦。
配管,はいかん,ガスや水道などの管を敷設すること。また、敷設された管。
拝顔,はいがん,人に会うことをへりくだっていう語。お目にかかること。拝眉。
廃棄,はいき,１ 不用なものとして捨てること。２ 条約を当事国の一方の意思によって効力を失わせること。
排気,はいき,１ 容器や建物内の空気を外へ除き去ること。２ 熱機関で不用となった燃焼ガスなどの気体を排出すること。また、その気体。
配給,はいきゅう,１ 品物などを一定の割合でめいめいに配ること。２ 統制経済のもとで、特定商品の一定量を特別の機関や方法によって消費者に公平に売り渡すこと。３ 一定の商品を一定の地域に配布・販売すること。
廃墟,はいきょ,建物・市街などの、荒れはてた跡。
廃業,はいぎょう,１ それまでの商売や職業をやめること。２ 芸者や遊女が勤めをやめること。
俳句,はいく,１ 発句(ほっく)および連句の句。２ 五・七・五の3句17音を定型とする短詩。季語を入れることを原則とする。俳諧の連歌の発句が独立したもので、一般化したのは、明治20年代以降、正岡子規が用い始めたことによる。無季の主張や定型を破った自由律俳句もみられる。
配偶,はいぐう,１ 添い合わせること。添わせること。２ めあわせること。また、その人。つれあい。配偶者。
背景,はいけい,１ 絵画や写真で、主要な題材の背後の光景。後景。バック。２ 舞台正面の奥などに描いた景色。書き割り。３ 物事の背後にひそんでいる事情。４ 背後にあって物事を支えている事柄。
拝見,はいけん,見ることをへりくだっていう語。謹んで見ること。
背後,はいご,１ 後ろ。背中の方。後方。２ 物事の表面に出ない陰の部分。
廃坑,はいこう,１ 鉱山や炭鉱の坑道を廃棄すること。また、その坑道。２ 鉱山や炭鉱の採掘をやめて廃棄すること。また、その鉱山や炭鉱。
廃校,はいこう,学校を廃止すること。また、廃止された学校。
廃鉱,はいこう,鉱山や炭鉱の採掘をやめて廃棄すること。また、その鉱山や炭鉱。廃坑。
背向,はいこう,そむくことと、従うこと。向背。
廃合,はいごう,廃止することと合併すること。
配合,はいごう,１ 2種以上のものを組み合わせること。混ぜ合わせること。２ 結婚させること。また、夫婦。つれあい。
廃材,はいざい,１ 役に立たなくなった材木。いらなくなった材木。２ 役に立たない、または、不要になった材料。
配剤,はいざい,１ 薬剤を調合すること。２ ほどよく配合すること。
廃山,はいざん,鉱山の操業を廃止すること。また、その鉱山。
廃止,はいし,やめて行わないこと。
廃址,はいし,建物や城などのすたれたあと。
拝辞,はいじ,１ いとまごいすることをへりくだっていう語。２ 辞退することをへりくだっていう語。
廃車,はいしゃ,１ 使用をやめて車両を廃棄すること。また、その車両。２ 登録を抹消した自動車。
拝謝,はいしゃ,礼を言うことをへりくだっていう語。心から感謝すること。
敗者,はいしゃ,勝負に負けた人。または、負けた側。
配車,はいしゃ,必要に応じて、車を割り当てて差し向けること。
拝借,はいしゃく,借りることをへりくだっていう語。
拝受,はいじゅ,受けること、受け取ることをへりくだっていう語。
排出,はいしゅつ,１ 内部にある不要の物を外へ押し出すこと。２ 生物体が物質代謝の結果生じた不要または有害な物質を体外に排除すること。排泄(はいせつ)。
輩出,はいしゅつ,すぐれた人物が続いて世に出ること。また、人材を多く送り出すこと。
排除,はいじょ,おしのけてそこからなくすこと。
敗色,はいしょく,負けそうな様相。負けそうな気配。
配色,はいしょく,2種以上の色を取り合わせること。また、取り合わせた色合い。
配食,はいしょく,（在宅の高齢者に）食事を配達すること。
背信,はいしん,信頼や約束を裏切ること。信義にそむくこと。
配信,はいしん,１ 通信社・新聞社・放送局などが、入手した情報やニュースを支社や他のマスコミ機関・官庁・企業などに配送すること。通信社が新聞社・放送局に、新聞社の本社から支社へ、放送局の親局から地域局へ、記事・番組などを送ること。２ インターネットを利用して、企業や個人が動画や音楽、情報などを送信すること。
俳人,はいじん,俳句を作る人。俳諧師。俳士。
廃人,はいじん,傷害・疾病などのため、通常の生活を営むことができない人。
配陣,はいじん,戦場で陣を配置すること。陣立て。
廃水,はいすい,使用後、不純物・有害物質等で汚れたために捨てる水。
排水,はいすい,１ 地表や地中、あるいは施設内などから過剰または不用な水を排除すること。２ 植物が夜間、水孔などから水滴を体外へ出すこと。３ 水に浮かんだ物体が、その水中に没している部分と同体積の水を外側におしのけること。
背水,はいすい,１ 水を背に位置すること。２ 水位変化の影響が下流から上流に及ぶこと。豪雨などで本流の河川の水位が急激に高くなり、支流が影響を受けて堤防が決壊する場合がある。
配水,はいすい,上水道などの水を給水区域内に配給すること。
排斥,はいせき,受け入れられないとして、押しのけ、しりぞけること。
排泄,はいせつ,不要な物質を体外に出すこと。排出。
廃絶,はいぜつ,すたれてなくなること。また、廃止してなくすこと。
敗戦,はいせん,戦争・試合などに負けること。まけいくさ。
配線,はいせん,１ 電気機器・通信装置などを導線で接続して回路を構成すること。また、その導線。２ 電気や電話の需要者側に電線や回線を敷設すること。また、その電線や回線。
配膳,はいぜん,食膳を客の前に配ること。料理や箸・茶碗などを食卓に出すこと。
敗訴,はいそ,訴訟に負けること。自己に不利益な判決を受けること。⇔勝訴。
拝送,はいそう,１ 見送ることの意の謙譲語。つつしんで見送ること。２ 送付することの意の謙譲語。お送りすること。
背走,はいそう,野球などで、前を向いたままで後ろへ走ること。
配送,はいそう,配達して届けること。また、配達と発送。
配属,はいぞく,割り当ててそれぞれの部署に定めること。
廃村,はいそん,１ 過疎地帯などで、住む人のいなくなった村。２ 市町村合併などにより、存在しなくなった村。
歯痛,はいた,歯が痛むこと。歯の痛み。しつう。
