name,reading,meaning
毎朝,まいあさ,毎日の朝。
毎回,まいかい,繰り返しめぐってくる、そのたびごと。毎度。
毎期,まいき,一定の期限のたびごと。期ごと。
枚挙,まいきょ,いちいち数え上げること。一つ一つ数えたてること。
舞妓,まいこ,舞をまって酒席に興を添える少女。現在では、京都の祇園(ぎおん)の舞子が有名。
迷子,まいご,道がわからなくなったり、連れにはぐれたりすること。また、その子供やその人。まよいご。
毎号,まいごう,新聞・雑誌などの号ごと。各号。
毎次,まいじ,そのたびごと。毎回。毎度。
毎時,まいじ,1時間ごと。1時間当たり。
毎週,まいしゅう,1週間ごと。週がかわるたび。
毎食,まいしょく,食事ごと。食事のたび。
邁進,まいしん,恐れることなく突き進むこと。
枚数,まいすう,紙や板などの数。
埋設,まいせつ,地中に埋めて設置すること。
埋葬,まいそう,死体または遺骨を土中に葬ること。
埋蔵,まいぞう,１ 地中に埋め隠すこと。また、埋もれ隠れていること。２ 鉱物資源が地中に埋もれていること。
毎月,まいつき,つきづき。月ごと。まいげつ。
毎度,まいど,１ 同じ事が繰り返されること。そのたびごと。２ （副詞的に用いて）いつも。
毎日,まいにち,来る日も来る日も。日ごと。
毎年,まいねん,としごと。年々。まいとし。
毎晩,まいばん,よごと。毎夜。
毎秒,まいびょう,1秒ごと。1秒当たり。
毎分,まいふん,1分ごと。1分当たり。
埋没,まいぼつ,１ うずもれて見えなくなること。２ 世の人に知られないこと。３ 没頭して他を顧みないこと。
毎夕,まいゆう,夕方ごと。まいせき。
毎夜,まいよ,毎晩。まいや。
真上,まうえ,まっすぐ上。すぐ上。直上(ちょくじょう)。
真裏,まうら,すぐ裏。まうしろ。
前金,まえきん,１ 品物を受け取る前に代金を支払うこと。前払いすること。また、その代金。ぜんきん。２ 手付金。内金(うちきん)。まえがね。
前前,まえまえ,ずっと前。かねて。以前。
魔界,まかい,悪魔のいる世界。
真顔,まがお,まじめな顔つき。真剣な面もち。
牧場,まきば,牛・馬・羊などの家畜を放し飼いにする場所。まき。ぼくじょう。
真逆,まぎゃく,まったく逆であること。正反対なこと。また、そのさま。
魔境,まきょう,１ 悪魔や魔物の住む世界。魔界。２ どんな危険がひそむかわからない人跡まれな地域。３ 遊里や賭博(とばく)場など、人を誘惑して逃れられなくさせる場所。魔窟(まくつ)。
真際,まぎわ,物事がまさに行われようとするとき。寸前。
幕間,まくあい,演劇で、一幕が終わって、次の一幕が始まるまでの間。舞台に幕が下りている間。
間口,まぐち,土地・家屋などの正面の幅。表口。
枕元,まくらもと,寝ている人の枕のあたり。枕頭(ちんとう)。まくらがみ。まくらべ。
真心,まごころ,真実の心。偽りや飾りのない心。誠意。
真砂,まさご,細かい砂。まなご。いさご。
摩擦,まさつ,１ 物と物とがすれ合うこと。また、こすり合わせること。２ 人間の社会関係で、二者の間に意見や感情の食い違いによって起こる、不一致・不和・抵抗・紛争など。軋轢(あつれき)。３ 互いに接触している二つの物体のうち、一方が運動しようとするとき、または運動しつつあるとき、その接触面に運動を妨げようとする力が働く現象。また、その力。相対速度により運動摩擦・静止摩擦に、運動状態により滑り摩擦・転がり摩擦などに分けられる。
正夢,まさゆめ,事実と一致する夢。将来、それが現実になる夢。
真下,ました,まっすぐ下。ちょうど下。直下(ちょっか)。
魔手,ましゅ,悪魔の手。心を惑わしたり危害を加えたりして人を破滅に導く手段をたとえていった語。
魔術,まじゅつ,１ 人の心を惑わす不思議な術。魔法。２ 手品。特に、大がかりな仕掛けを用いるものにいう。
魔性,ましょう,悪魔のような、人を惑わす性質。また、それをもっていること。
麻酔,ますい,一時的に神経機能を低下させて、痛みの感覚をはじめ知覚や意識を失わせること。
益益,ますます,程度が一層はなはだしくなるさま。いよいよ。
間近,まぢか,間近いこと。また、そのさま。
街角,まちかど,１ 町の通りの曲がりかど。２ 街頭。
町中,まちじゅう,１ 町の全部。町全体。２ 町の人々全部。
町中,まちなか,住宅や商店が集まっている所。
区区,まちまち,１ まちまちで、まとまりがないさま。２ 価値が低いさま。取るに足りないさま。３ 些細(ささい)なことにこだわって、こせこせしているさま。
末裔,まつえい,末の血統。子孫。後裔。末孫。ばつえい。
末期,まっき,ある物事の末の時期。終わりに近いころ。
末期,まつご,人の死のうとする時。死に際(ぎわ)。臨終。
驀地,まっしぐら,激しい勢いで目標に向かって突き進むさま。いっさんに。
抹消,まっしょう,塗りつぶして消すこと。記載事項を消すこと。
末梢,まっしょう,１ 物のはし。末端。２ ささいなこと。３ 木の枝の先端。こずえ。
末節,まっせつ,１ 物事の本質的でない部分。２ 晩年。晩節。
末代,まつだい,１ 死んでからのちの世。後世。２ 道義の衰えた末の世。末世。
末端,まったん,１ 物のはしの部分。２ 組織などの中央から最も遠い部分。
末尾,まつび,ものの最後。終わり。
末筆,まっぴつ,文章、特に手紙の末尾にしるす文句。
末文,まつぶん,１ 文章の終わりの部分。２ 手紙文の終わりに書く形式的な文章。
末葉,まつよう,１ ある時代の終わりごろ。末期。２ 物事の大事でない部分。３ 子孫。末裔(まつえい)。ばつよう。
末路,まつろ,１ 道の終わり。２ 一生の最後。晩年。ばつろ。３ 盛りを過ぎて衰え果てた状態。なれのはて。ばつろ。４ 星新一のショートショート作品。さまざまな迷路に収録。
魔笛,まてき,１ 魔法の笛。魔力のある笛。２ モーツァルトの最後のオペラ。1791年に作曲され同年ウィーンで作曲者の指揮により初演された。２幕からなり，台本は，俳優・歌手・台本作家として知られたドイツ人E.シカネーダー〔1751-1812〕。エジプトの王子タミーノと夜の女王の娘パミーナ，鳥さしのパパゲーノとパパゲーナが結ばれるまでの童話的なオペラで，ドイツ語で書かれたジングシュピールとして，その後のドイツのオペラの発展の出発点ともなった。ベルイマンにより映画化（1975年）もされている。
的射,まとい,的を置いて矢を射ること。
窓際,まどぎわ,窓に近いあたり。窓のそば。
窓口,まどぐち,１ 窓になっている所。２ 外来者と直接応対して用件の処理や書類・金銭の受け渡しなどをする係・部署。３ 外部との折衝や交渉をするところ。
窓辺,まどべ,窓のそば。窓の近く。
正面,まとも,１ まっすぐに向かい合うこと。正しく向かい合うこと。また、そのさま。真正面。２ 策略や駆け引きをしないこと。また、そのさま。３ まじめなこと。正当であること。また、そのさま。
微睡,まどろみ,まどろむこと。
愛娘,まなむすめ,かわいがっている娘。
真似,まね,１ まねること。また、形だけ似た動作をすること。模倣。２ 行動。ふるまい。
麻痺,まひ,１ しびれて感覚がなくなること。しびれ。２ 通常のはたらきや動きが停止すること。３ 脳・神経や筋肉が働かなくなって、運動機能や精神作用・知覚機能が失われること。
真昼,まひる,昼の最中。正午ごろ。白昼。
目深,まぶか,目が隠れるほど、帽子などを深くかぶるさま。めぶか。
真冬,まふゆ,冬のさなか。《季 冬》
魔法,まほう,人間の力ではなしえない不思議なことを行う術。魔術。
間間,まま,１ 頻繁ではないが、時々現れるさま。時おり。２ 物と物とのあいだ。あいだあいだ。
飯事,ままごと,子供が玩具を使って炊事や食事などのまねごとをする遊び。ままごと遊び。
真水,まみず,１ 塩分などのまじらない水。淡水。さみず。２ 国の経済対策のうち、政府が直接負担する財政支出のこと。公共投資・減税など、同年度の経済成長率を直接押し上げる要素となるものを指す。真水ベースで対国内総生産（GDP）何パーセントの経済対策などと表す。３ 大部分が直接企業の収益となる売上。また、現金のこと。
摩滅,まめつ,すりへること。すれてなくなること。
豆粒,まめつぶ,豆の粒。ごく小さいもののたとえに用いる。
豆本,まめほん,きわめて小型の本の総称。外国では、好事家に珍重される。
摩耗,まもう,かたい材質の物が、すりへること。特に、機械の部品や道具にいう。
魔物,まもの,１ 魔性のもの。妖怪ようかい。ばけもの。２ 人を迷わせたり破滅に導いたりするもの。
眉頭,まゆがしら,眉の、眉間(みけん)に近い部分。びとう。
眉尻,まゆじり,眉のこめかみに近い方。
眉根,まゆね,１ 眉の根もと。眉毛の内側の方。まよね。２ まゆ。まよね。
真横,まよこ,ちょうど横。また、水平。
魔力,まりょく,人を惑わし、また引きつける不思議な力。まりき。
丸腰,まるごし,武器を全く持たないこと。
丸損,まるぞん,利益が全くなく、すっかり損をすること。
丸裸,まるはだか,１ からだに何もつけていないこと。あかはだか。まっぱだか。すっぱだか。２ 自分のからだのほかは、全然所有物のないこと。無一物。３ （比喩的に）木の葉が全部落ちてしまった状態。また、枝を切られて幹だけの状態。４ （比喩的に）すっかりさらけ出すこと。または、さらけ出されること。
丸秘,まるひ,秘密書類であることを示す㊙のしるし。転じて、秘密にすべきこと。また、そのもの。
丸丸,まるまる,１ ある事物を伏せて暗示するときに用いる符号。「〇〇」と書く。２ 二重の圏点。二重丸。３ 団子(だんご)をいう女房詞。４ よく太っているさま。５ ある数量や事柄の全体に及ぶさま。完全に。６ 全く。すっかり。
真綿,まわた,くず繭などを煮て引き伸ばして作った綿。じょうぶで軽く、保温力が大きい。
万一,まんいち,１ 万の中に一つ。めったにないが、ごくまれにあること。まんがいち。２ めったにないことが起こるのを予測するさま。もしも。まんがいち。
満員,まんいん,定員に達すること。また、余地がないほど人がいっぱいにはいっていること。
満悦,まんえつ,心が満ち足りてよろこぶこと。
蔓延,まんえん,つる草がのび広がること。病気や悪習などがいっぱいに広がること。
漫画,まんが,１ 単純・軽妙な筆致で描かれた、こっけい・誇張・風刺・ナンセンスなどを主とする絵。２ 絵を連続させ、多くは台詞(せりふ)を伴って物語風にしたもの。
満開,まんかい,花が十分に開くこと。また、すべての花が開くこと。はなざかり。
満額,まんがく,要求や計画どおりの金額。
満期,まんき,期限が来ること。一定の期日に達すること。また、その時期。
満喫,まんきつ,１ 存分に飲み食いすること。２ 十分に楽しむこと。
満月,まんげつ,１ 全面が輝いて円く見える月。月と太陽の黄経の差が180度になったときに起こる。十五夜の月。望(ぼう)。もちづき。２ 琵琶の部分の名。隠月(いんげつ)の異称。３ 星新一のショートショート作品。つねならぬ話に収録。
満載,まんさい,１ 車・船などに荷物や人をいっぱいのせること。２ 新聞・雑誌に記事をたくさんのせること。３ ある性質がはなはだしいこと。
漫才,まんざい,二人の芸人がこっけいなことを言い合って、客を笑わす寄席演芸。
満更,まんざら,１ （あとに否定的な語を伴って）否定的な意味をさらに強める気持ちを表す。全く本当に。２ （否定的な語のあとにさらに打ち消しの語を伴って）否定の意味をやわらげたり、むしろ逆であるの意味を表したりする。必ずしも。３ 全くだめであるさま。４ 困難なさま。こまりはてるさま。
満室,まんしつ,１ すべての部屋がふさがって空きがないこと。２ その部屋をいっぱいにしていること。
満車,まんしゃ,駐車場などに車がいっぱいで、それ以上は入れないこと。
満場,まんじょう,会場に満ちていること。会場全体。また、その場にいる人すべて。
慢心,まんしん,おごり高ぶること。また、その心。自慢する気持ち。
満身,まんしん,からだじゅう。全身。
満水,まんすい,水がいっぱいに満ちること。
慢性,まんせい,１ 症状はあまりひどくないが、治りにくく、経過が長びく病気の性質・状態。２ 望ましくない状態が長く続くこと。
満席,まんせき,乗り物や劇場などの座席がすべてふさがること。
万善,まんぜん,あらゆる善事。数多い善行。
漫然,まんぜん,とりとめのないさま。ぼんやりとして心にとめないさま。
