name,reading,meaning
名宛,なあて,手紙・小包などの、受け取るべき相手を指定すること。また、その名。
内圧,ないあつ,国や組織などの内部からの圧力。
内案,ないあん,内々の案文。また、心中の考え。
内意,ないい,心の中で思っていること。また、公表してない考え。内々の意向。
内縁,ないえん,１ 事実上は同居して婚姻関係にありながら、婚姻届を出していないために法律上の夫婦とは認められない男女の関係。２ 内側のへり。３ 内々の縁故。内々の関係。
内奥,ないおう,内部の奥深いところ。
内科,ないか,全身性あるいは内臓などの病気を、主に薬物療法によって治療する医学・医療の分野。
内海,ないかい,１ 周りを陸地に囲まれ、狭い海峡で外洋と連絡している海。瀬戸内海など。うちうみ。２ 仏語。須弥山(しゅみせん)を囲む九山八海のうち、第八山の内側にある海。３ 茶入れの一。大海(たいかい)に対して、口の狭い小形のもの。うちうみ。
内外,ないがい,１ うちとそと。２ 国内と国外。３ 数量・時間などを表す語のあとに付いて、その数値に近い意を表す語。前後。くらい。
内含,ないがん,内部に含むこと。内包。
内規,ないき,１ 組織の内部に適用されるきまり。２ 弓の的(まと)で、中心に一番近い輪。
内勤,ないきん,官庁・会社などで、勤め先の内部で仕事をすること。また、その人。
内検,ないけん,１ 内々で取り調べること。下検分。２ 中世、風水害や虫害などで農作物が不作のとき、臨時に行った検注。
内見,ないけん,１ 内々に見ること。内覧。２ 建物の内部を実際に見ること。多く、不動産の売買・賃貸契約の際に行うものをいう。内覧。
内向,ないこう,心のはたらきが自分の内部に向かうこと。
内在,ないざい,１ あるものが、そのものの中におのずから存在すること。２ 哲学で、超越に対し、現象がみずからの内にその根拠・原因をもっていること。神が世界の内において働く原因である（スピノザ）、経験可能の範囲にある（カント）、事物は意識・自我の内にある（主観的観念論）などのさまざまな意味に用いられる。
乃至,ないし,１ あるいは。または。２ 数量などの上下・前後の限界を示して、その中間を省略するときに用いる語。
内事,ないじ,内部に関する事柄。うちうちのこと。
内示,ないじ,非公式に通知すること。
内実,ないじつ,１ 内部の実情。うちまく。２ （副詞的に用いて）本当のところ。その実。
内需,ないじゅ,国内の需要。
内助,ないじょ,内部からする援助。特に、妻が夫の外での活躍を家の中にあって支えること。
内情,ないじょう,内部の事情。内部の状況。
内職,ないしょく,１ 本職とは別に、収入を得るためにする仕事。副業。２ 家庭の主婦などが家計の助けに主として自宅でする賃仕事。３ 授業中などにこっそり別の勉強などをすること。
内心,ないしん,１ 表に出さない気持ち。心のうち。心中。副詞的にも用いる。２ 三角形の内接円の中心。三つの内角それぞれの二等分線が交わる点に一致する。
内政,ないせい,国内の政治。また、国内の行政。
内製,ないせい,外部に委託・発注せず、自社ですべてを製造・制作すること。
内戦,ないせん,一国内における、同じ国民どうしの戦い。内乱。
内装,ないそう,建築物などの内部の設備や装飾。また、そのための工事。
内臓,ないぞう,動物の内腔にある器官の総称。消化器・呼吸器・泌尿生殖器・内分泌器をいう。
内蔵,ないぞう,内部に持っていること。
内諾,ないだく,内々に承諾すること。
内達,ないたつ,前もって内々に通達すること。また、その通達。
内通,ないつう,１ 味方の中にいて、こっそり敵に通じること。内応。２ 男女がひそかに情を通じること。私通。密通。３ 内々に話を通しておくこと。
内偵,ないてい,ひそかに相手方の状況を探ること。内探。
内定,ないてい,正式の発表の前に内々で定まること。また、その決定。
内内,ないない,１ 表立てないでひそかに、また、非公式に事を行うこと。また、そのさま。内密。うちわ。２ 物事の内部、内側。３ 表面に出さないさま。ひそかに。内密に。うちわに。４ 心の中でひそかに思うさま。内心では。心の中では。
内発,ないはつ,外部からの刺激によらずに、内部から自然に生じること。
内評,ないひょう,内々の評判・批評など。
内部,ないぶ,１ 物の内側の部分。２ 組織などに属する範囲内。
内服,ないふく,薬を飲むこと。内用。
内紛,ないふん,内部での争い。うちわのもめごと。内訌(ないこう)。
内分,ないぶん,１ 表沙汰にしないでおくこと。内聞。２ 線分上に点をとり、その線分をある比に分けること。
内聞,ないぶん,１ 内々に聞くこと。非公式に身分の高い人の耳に入ること。２ 表沙汰にしないこと。内分。
内壁,ないへき,内側の壁。また、壁の内側。
内変,ないへん,内部の変化。また、国内の変事。
内包,ないほう,１ 内部にもっていること。２ 論理学で、概念が適用される事物に共通な性質の集合。
内報,ないほう,内々に知らせること。また、その知らせ。
内密,ないみつ,表沙汰にしないこと。また、そのさま。内緒。
内命,ないめい,内々に命令すること。また、その命令。
内面,ないめん,１ 物の内側の面。２ 精神・心理に関する面。心の中。
内約,ないやく,内々に約束をすること。また、その約束。
内容,ないよう,１ 容器や包みなどの、中に入っているもの。なかみ。２ 物事を成り立たせているなかみ。実体。実質。３ 文章や話などの中で伝えようとしている事柄。意味。４ 哲学で、事物や事象を成立させ、また、表面に現れている実質・意味。
内用,ないよう,１ 内々の用事。２ 薬を飲むこと。内用。
内乱,ないらん,国内の騒乱。一国内において、政府の転覆を目的とする反政府勢力と政府側とによって行われる武力闘争。
内覧,ないらん,１ 内々で見ること。２ 建物の内部を実際に見ること。多く、不動産の売買・賃貸契約の際に行うものをいう。３ 平安時代以降、太政官から天皇に奏上する文書を、摂政・関白または宣旨を受けた大臣が前もって読んで処置すること。
内陸,ないりく,陸地の、海から遠く離れた地域。
内力,ないりょく,１ 物体系・質点系の内部で、各質点間に働く力。２ 物体が外力を受けたとき、それに応じて内部に現れる抵抗力。物体内部に任意の単位面積を考え、その両側が互いに及ぼし合う力の大きさと方向で表す。内力。歪力(わいりょく)。
尚更,なおさら,物事の程度が前よりいっそう進むさま。ますます。いちだんと。
等閑,なおざり,１ いいかげんにしておくさま。本気でないさま。おろそか。２ ほどほどで、あっさりしているさま。
尚尚,なおなお,１ ますます。さらに。２ まだやはり。依然として。３ 手紙文などの最後に別の事柄を追加するときに用いる。加えて。
尚又,なおまた,話し終わったあとに、さらに別の事柄を言い添えるのに用いる。その上さらに。そのほかに。
長居,ながい,同じ所に長くいること。長座。
仲買,なかがい,物品や権利の売買の媒介をして営利をはかること。また、それを業とする人。ブローカー。
中頃,なかごろ,１ 中ほどの時期。 ２ 中ほどの所。中途。 ３ その時から見て、あまり古くない時代。中世。
中食,なかしょく,弁当などの調理済みの食材を買って持ち帰り、職場や家庭などで食べること。
長尻,ながじり,他人の家などで、座り込んでなかなか帰らないこと。ながっちり。
中州,なかす,川の中の、土砂などが堆積(たいせき)して低い島状になっている所。
長旅,ながたび,長途の旅。長期間にわたる旅行。
長血,ながち,子宮から血のまじったおりものが長期間出ること。赤帯下(しゃくたいげ)。
長手,ながて,１ 長めなこと。２ 材の寸法の長い方の側。３ 長い道のり。長路。
中中,なかなか,１ 予想した程度を上回るさま。かなりなさま。２ 物事が予想したようには容易に実現しないさま。３ 中途半端なさま。また、中途半端で、いっそそうでないほうがましなさま。４ 予想した以上に。意外に。かなり。５ （多くあとに打消しの語を伴って）容易に実現しないさま。６ 予想や一般的な状況とは反対の結果になるさま。むしろ。かえって。７ （あとに打消しの語を伴って）とうてい。けっして。８ 相手の言葉に相槌を打つときに発する語。はい。ええ。そうです。
長長,ながなが,きわめて長いさま。いかにも長いさま。
長年,ながねん,長い年月。久しい間。多年。
長話,ながばなし,長い時間話をすること。また、その話。
中日,なかび,１ 一定期間のまんなかにあたる日。ちゅうにち。２ 芝居・寄席・相撲などで、興行期間のまんなかの日。３ 芝居・寄席などで、中日に出演者から楽屋の者などに出す祝儀。
中程,なかほど,１ ある期間・時期のまんなかのあたり。なかごろ。なかば。２ 物の位置や距離のまん中のあたり。３ 程度の中くらい。
仲間,なかま,１ 一緒に物事をする間柄。また、その人。２ 地位・職業などの同じ人々。３ 同じ種類のもの。同類。４ 近世、商工業者の同業組合。官許を得たものを株仲間といった。５ 星新一のショートショート作品。ありふれた手法に収録。
中身,なかみ,１ 中に入っているもの。中に入れてあるもの。２ 物事の内容・実質。３ 刀剣の刃の部分。刀身。
就中,なかんずく,その中でも。とりわけ。
亡骸,なきがら,死んで魂の抜けてしまったからだ。死体。しかばね。遺体。
仲人,なこうど,中に立って橋渡しをする人。特に、結婚の仲立ちをする人。媒酌人。
名残,なごり,１ ある事柄が過ぎ去ったあとに、なおその気配や影響が残っていること。また、その気配や影響。余波(よは)。２ 人と別れるときに思い切れない気持ちが残ること。また、その気持ち。３ 物事の最後。終わり。４ 亡くなった人をしのぶよすがとなるもの。忘れ形見。子孫。５ 病後のからだに残る影響。６ 残り。残余。７ 「名残の折」「名残の茶」などの略。
何故,なぜ,理由・原因などを問うのに用いる。どうして。なにゆえ。どういうわけで。
謎謎,なぞなぞ,１ 言葉や文章などの中に、ある意味を隠して問いかけ、その意味を当てさせる遊び。２ 遠回しに言うこと。それとなくさとらせること。また、その言葉。
名代,なだい,１ 名前を知られていること。評判の高いこと。また、そのさま。２ 名目として掲げる名前。名義。名目(めいもく)。３ 江戸時代、歌舞伎・操り芝居などの興行で、奉行所から許可を得た興行権の名義人。江戸では座元と一致したので使われず、上方で用いられた。
捺印,なついん,印判をおすこと。また、おした印影。押印。
納得,なっとく,他人の考えや行動などを十分に理解して得心すること。
夏場,なつば,１ 夏のころ。夏の間。夏季。２ 夏の間、人出が多くにぎわう場所。
七色,なないろ,１ 7種類の色。赤・橙(だいだい)・黄・緑・青・藍(あい)・菫(すみれ)の七つの色をいう。しちしょく。２ ななとおり。7種類。また、いろいろの種類。３ 「七色唐辛子」の略。４ 「七色菓子」の略。
七重,ななえ,七つ重ねること。また、たくさんのものを重ねること。多くの重なり。しちじゅう。
七癖,ななくせ,だれにでも癖はあるということ。
七光,ななひかり,親や仕えている主人などのおかげで、いろいろな形の利益を受けること。
何彼,なにか,種々雑多な事物をまとめていう。あれやこれや。いろいろ。
何糞,なにくそ,困難な事態に出あったときに、くじけそうな気持ちを奮いたたせるために発する語。
何事,なにごと,１ どのような事柄。どんなこと。２ （多く「も」を伴って）あらゆること。万事。３ （相手をとがめる気持ちで）どうしたこと。なんということ。４ 不定の事柄をさしていう語。なになに。
何様,なにさま,１ 様づけで呼ばれるような身分の方。高貴な人。皮肉の意を込めて用いることが多い。２ どんなようす。どのよう。３ いかにも。まったく。
何卒,なにとぞ,１ 相手に強く願う気持ちを表す。どうぞ。どうか。２ 手段を尽くそうとする意志を表す。なんとかして。ぜひとも。
何何,なになに,１ 手紙・書類などを読みはじめるとき、何が書いてあるのかなというような感じで発する語。２ 相手の言ったことを受け、それを確認、反問しようとするときに発する語。３ 前の事柄を否定して、自分の考えなどを述べようとするときに発する語。４ 不定称の指示代名詞。不明なものや不確定なものを並べあげるのに用いる。何と何。また、一つ一つの内容を具体的に記す必要のないときに用いる。
何人,なにびと,どういう人。いかなる人。何者。なんぴと。
何分,なにぶん,１ はっきりしない内容を漠然と表す。なんらか。２ あまり多くない数量を漠然と表す。いくらか。なにがし。３ 適切な処置を依頼するときに用いる。どうぞ。何とぞ。４ どんな事情よりも優先する事柄を述べて、弁解などをするときに用いる。何しろ。何せ。
何某,なにぼう,姓名を明示しないで、一定の人をさすときに用いる。なんとかいう名前の人。だれそれ。なにがし。
何程,なにほど,１ どれほど。どのくらい。数量・程度についての疑問を表す。２ どんなに。いかに。程度の不定を表すことにより、その甚だしさを示す。３ 反語の表現に用いて、とるにたりないの意を表す。
何者,なにもの,１ はっきりしない相手をさす語。だれ。何人(なにびと)。２ あらゆる人。いかなる人。何人(なにびと)。
何物,なにもの,どのような物。いかなる物。
何故,なにゆえ,どうして。どういうわけで。なぜ。
何用,なによう,どのような用件。何の用事。
名札,なふだ,姓名を書いた札。また、名刺。
鍋物,なべもの,鍋で煮炊きしながら食べる料理。水炊き・寄せ鍋・牛鍋・すき焼きなど。鍋料理。
生足,なまあし,靴下・ストッキングをはいていない女性の足をいう俗語。素足。
名前,なまえ,１ 人の氏名。姓名。２ 姓に対しての、名。３ 一般の事物の名称。４ 固有の事物の名称。５ 星新一のショートショート作品。ありふれた手法に収録。
生皮,なまかわ,１ なまのままの新しい皮。はいだばかりで、まだ乾燥や加工のしてない皮。２ 雁(がん)や鴨(かも)の皮を酢に漬けたもの。煮たてた醤油につけて食べる。３ 怠けること。ものぐさなこと。また、その人。
生木,なまき,１ 地に根を張って生きている木。２ 切ったばかりで、まだ乾燥していない木。
生傷,なまきず,なまなましい傷。新しい傷。
生臭,なまぐさ,１ 生臭いこと。また、そのもの。生臭物。２ 「生臭坊主」の略。
生首,なまくび,斬って間のないなまなましい首。
生塵,なまごみ,台所から出る、魚・野菜などのくずや残りかすなど、水けのあるごみ。
生魚,なまざかな,煮たり焼いたりしていないなまの魚。なまうお。
生唾,なまつば,おいしそうなものや酸味のあるものを見たり想像したりしたときや、気分が悪かったり興奮・緊張したりしたときなどに、自然に口の中に出てくるつば。
生爪,なまづめ,指に生えているままのつめ。
生肉,なまにく,火を通していない、なまの肉。
生花,なまばな,生け花で、自然の花。造花や枯れ枝、人工を加えた花などに対していう。
生身,なまみ,１ 現に生きているからだ。血も通い感情もはたらいている身。いきみ。２ なまのままの魚肉。３ 調理用語。すりつぶした魚肉のこと。しんじょ・はんぺん・伊達巻(だてま)きなどの種にする。
生水,なまみず,飲料に用いる水で、煮沸していないもの。
生麦,なまむぎ,手を加えてない、生の麦の実。
生物,なまもの,加熱や乾燥、燻製・塩物などの加工をしていない、なまの食品。主に魚類にいう。
波跡,なみあと,１ 波が打ち寄せた跡。２ 船が通ったあと水面にできる、すじ状の跡。航跡。
波頭,なみがしら,１ 波の盛り上がった頂。波頭(はとう)。２ 波の立ってくずれる形を模様化したもの。
波風,なみかぜ,１ 波と風。また、風が強く吹いて波立つこと。２ 家庭や世間に起こるごたごた。もめごと。３ さまざまのつらい事柄。
波形,なみがた,１ 波のような形。また、波をかたどった模様。２ 語句と語句との間に入れる「～」の記号。数値や時間、場所の範囲を示すときや、語句の省略などに用いる。波ダッシュ。波ダーシ。スワングダッシュ。
並木,なみき,並んで立っている樹木。また、街路の両側などに1列に並べて植えた木。街路樹。
波罫,なみけい,印刷で用いる、波形をした罫線の「～～」。
涙雨,なみだあめ,１ 悲しみの涙が化して降ると思われる雨。２ ほんの少し降る雨。
涙顔,なみだがお,涙ぐんだ顔つき。泣き顔。
涙声,なみだごえ,涙ぐんだ時の声。泣き出しそうな人の声。
涙目,なみだめ,１ 涙ぐんだ目。泣いている顔。２ 眼病などのために、涙が出やすくなった目。
並並,なみなみ,１ なみひととおりであること。また、そのさま。多く、打消しの語を伴って用いる。２ 同列・同等であること。ひとしなみ。
波間,なみま,波のうねりとうねりの間。また、波が寄せてくるまでの絶え間。
納屋,なや,１ 屋外に建てられた物を納めておく小屋。２ 漁業地で、若者を起居させる網元の小部屋。３ 室町時代、海産物を保管するため港町の海浜に設けた倉庫。４ 江戸時代、河岸(かし)に建てられていた商品倉庫。
奈落,ならく,１ 地獄。また、地獄に落ちること。２ 物事の最後の所。どん底。特に、これ以上はない、ひどい境遇。３ 劇場で、舞台や花道の床下。地下室となっていて、回り舞台やせり出しの装置があり、通路にもなる。
生業,なりわい,１ 生活を営むための仕事。２ 五穀が実るようにつとめるわざ。農業。また、その作物。
縄帯,なわおび,縄を帯の代用にして腰に巻くこと。また、そのもの。
縄尻,なわじり,縄の端。特に、罪人などを縛った縄の一端を余して連行する人が持つ部分。
縄目,なわめ,１ 縄の結び目。２ 土器などの表面に縄を押し付けて作った模様。３ 敵などにつかまって縄で縛られること。
南緯,なんい,赤道から南の緯度。⇔北緯。
難易,なんい,むずかしいこととたやすいこと。困難と容易。
南下,なんか,南へ向かって進むこと。
