name,reading,meaning,example
最愛,さいあい,１ 最も深く愛していること。２ 男女または夫婦の仲のよいこと。夫婦の間柄。,1097
最悪,さいあく,最も悪い状態であること。また、そのさま。,5903
再案,さいあん,修正した二度目の草案。,0
細雨,さいう,こまかい雨。ぬかあめ。きりさめ。,107
再演,さいえん,１ 同じ劇などを再び上演すること。２ 同じ役者が同じ役で再び出演すること。,731
再縁,さいえん,二度目の結婚をすること。再婚。,98
才媛,さいえん,高い教養・才能のある女性。,216
菜園,さいえん,野菜を作る畑。,811
再応,さいおう,再び繰り返すこと。,12
塞翁,さいおう,辺境の塞(とりで)のほとりに住む老人。,18
採火,さいか,火をとること。特に、オリンピックの聖火の種火を、凹面鏡を使って日光からとること。,28
災禍,さいか,天災や事故によって受けるわざわい。思いがけない災難。,401
裁可,さいか,１ 判断して許可すること。特に、君主が臣下の提出する議案を裁決し、許可すること。裁許。２ 明治憲法下で、天皇が議会の議決した法律案・予算案を承認する行為。これによって確定的に成立した。勅裁。,549
載貨,さいか,車や船に貨物を積むこと。また、その貨物。,38
再会,さいかい,長く別れ別れになっていた人どうしが、再びめぐりあうこと。,7098
再開,さいかい,いったん閉じていたもの、中断していたものを、再び開いたり、始めたりすること。また、再び始まること。,13020
際会,さいかい,重大な事件や時機にたまたま出あうこと。,122
災害,さいがい,１ 地震・台風などの自然現象や事故・火事・伝染病などによって受ける思わぬわざわい。また、それによる被害。２ 星新一のショートショート作品。ちぐはぐな部品に収録。,8235
際涯,さいがい,物事や土地の限界。,70
才覚,さいかく,１ すばやく頭を働かせて物事に対応する能力。知恵の働き。機転。２ 工夫(くふう)すること。また、すばやく頭を働かせて物事を処理すること。３ あれこれ苦心して金や物を手に入れること。工面(くめん)。４ 学問の力。学識。才学。５ 機転や才知のあるさま。,1074
再刊,さいかん,休刊または廃刊していた新聞や雑誌などを再び刊行すること。復刊。,299
才幹,さいかん,物事を成し遂げる知恵や能力。,237
斎館,さいかん,神職などが神事に携わる前に心身を清めるためにこもる建物。神館(かんだち)。,18
再帰,さいき,１ 再び帰ること。２ ヨーロッパ諸語の文法で、主語と目的語が同一者であること。,879
再起,さいき,１ 病気が治って元気になること。２ 失敗や挫折ざせつから元の状態に立ち直ること。,1357
才気,さいき,よく気がつき、巧みに物事を処理する知的能力。,1121
猜忌,さいき,ねたましく思ってきらうこと。,21
再議,さいぎ,再び審議をすること。再度の討議。,53
祭儀,さいぎ,神仏を祭る儀式。,402
猜疑,さいぎ,人の言動をすなおに受け取らないで、何かたくらんでいるのではないかと疑うこと。,1229
再挙,さいきょ,失敗した事業や政治運動などを再び起こすこと。,137
裁許,さいきょ,１ 役所などが裁決して許可を与えること。裁可。２ 中世・近世、判決の称。また、判決を与えること。,178
最強,さいきょう,もっとも強いこと。もっとも強いもの。,4722
再勤,さいきん,再び職務に就くこと。二度の勤め。,45
最近,さいきん,１ 現在より少し前のある時。また、少し前から現在までの間。副詞的にも用いる。２ もっとも近いこと。,32571
細工,さいく,１ 手先を巧みに使ってこまかな物を作ること。また、作られた物。２ 物事がうまく運ぶようにいろいろと準備・工夫すること。また、そのくわだて。３ 物をうまく利用するために、こまかい装置をつけること。また、その仕掛け。４ こまかな物を作る人。細工人。細工師。工芸家。,6149
再掲,さいけい,以前に掲示・掲載したものを、もう一度しめすこと。,38
細隙,さいげき,１ 細いすきま。２ 光線や電子・原子などの粒子線の幅を制限する細いすきま。スリット。,8
採決,さいけつ,会議で、議案の採否を会議構成員の賛否をとって決定すること。,973
採血,さいけつ,病気の診断や輸血などのために体内の血液を採ること。,276
裁決,さいけつ,１ その物事がよいか悪いかを裁いて決定すること。また、それを申し渡すこと。２ 審査請求または再審査請求に対し、行政庁が判断を与える行為。また、その決定。,582
歳月,さいげつ,１ としつき。年月。２ 星新一のショートショート作品。だれかさんの悪夢に収録。,4422
債権,さいけん,特定人（債権者）が他の特定人（債務者）に対して、一定の行為（給付）を請求することを内容とする権利。,3805
再建,さいけん,１ 焼けたり、壊れたりした建造物を建て直すこと。２ 衰えたり、うまくいかなくなったりした会社や団体などをあらためて組織しなおすこと。３ 負傷、手術などで失った部分をシリコンなどの人工素材を使ったり、自身の体の組織を移植したりして元のように形作ること。,12272
再検,さいけん,もう一度調べること。再検査。,13
再見,さいけん,同じものをもう一度見ること。見直すこと。,0
細見,さいけん,１ 詳しく見ること。２ 詳しく示した地図・案内書など。,156
再現,さいげん,１ 物事が再び現れること。また、再び現すこと。２ 星新一のショートショート作品。さまざまな迷路に収録。,10159
際限,さいげん,移り変わっていく状態の最後のところ。,1767
最古,さいこ,もっとも古いこと。,6515
最後,さいご,１ 物事のいちばんあと、または後ろ。いちばん終わり。最終。２ （「…たら最後」「…が最後」の形で）それで終わりで、あとはどうにもならない意を表す。一度…したら、それっきり。３ 命の終わるとき。死にぎわ。臨終。末期(まつご)。,112517
催行,さいこう,旅行会社が、自社の主催する旅行を実施すること。,164
再興,さいこう,いったん衰えたものが、勢いを盛り返すこと。また、もう一度盛んにすること。,4565
再校,さいこう,１ 印刷で、初校に次ぐ二度目の校正。また、その校正紙。二校。２ 二度目の校合。また、出版物を調べなおして再び出版すること。,28
再構,さいこう,もう一度構成しなおすこと。組み立てなおすこと。,42
再考,さいこう,もう一度考えなおすこと。,487
最高,さいこう,１ 地位や高さなどがいちばんたかいこと。２ 物事の程度が特にいちじるしいこと。また、そのさま。３ 物事が最も望ましい状態にあること。この上なくすばらしいこと。また、そのさま。,39475
採光,さいこう,室内に日光などの光線をとり入れること。,512
採鉱,さいこう,鉱山で鉱石を採掘すること。,451
砕鉱,さいこう,有用な鉱物を取り出すため、掘り取った鉱石を砕くこと。,8
催告,さいこく,相手方に対して一定の行為をするように請求すること。,83
再建,さいこん,１ 焼けたり、壊れたりした建造物を建て直すこと。２ 衰えたり、うまくいかなくなったりした会社や団体などをあらためて組織しなおすこと。３ 負傷、手術などで失った部分をシリコンなどの人工素材を使ったり、自身の体の組織を移植したりして元のように形作ること。,12272
再婚,さいこん,１ 配偶者と死別または離別した人が、再び結婚すること。２ 吉村昭の小説。再婚に収録。,4436
再再,さいさい,ある動作が繰り返し行われるさま。,15
歳歳,さいさい,毎年。としどし。年々。,6
騒騒,さいさい,物が揺れ動いてさわさわと音を立てるさま。,0
幸先,さいさき,１ よいことが起こる前兆。吉兆。２ 事を始めるときに当たって何かを感じさせる物事。前兆。縁起。,273
再三,さいさん,ある動作が二度も三度も行われること。副詞的にも用いる。,1960
採算,さいさん,利益があるかどうか、収支を計算してみること。商売や事業の、収支のつりあい。,1729
再思,さいし,もう一度考えなおすこと。,15
歳時,さいじ,１ 1年の、そのおりおり。四季おりおり。２ 年と時。年と季節。,590
細事,さいじ,１ ちょっとしたこと。つまらない事柄。小事。２ 詳しい事柄。,36
彩色,さいしき,色をつけること。いろどり。,2244
才質,さいしつ,もって生まれた才能。,10
祭日,さいじつ,１ 神社などで、祭りを行う日。２ 「国民の祝日」の俗称。３ 皇室で、祭典が行われる日。大祭日と小祭日がある。４ 神道で、死者の霊を祭る日。５ 物忌(ものい)みをする日。日忌み。,1041
採取,さいしゅ,１ 研究・調査などのために、とること。２ 鉱物や植物、また、貝などを選び取ること。,4067
採種,さいしゅ,次の栽培のために植物の種子をとること。,70
歳首,さいしゅ,年の始め。年首。年頭。,0
最終,さいしゅう,１ いちばん終わり。２ その日、最後に運行されるバス・電車・汽車・飛行機など。,52080
採集,さいしゅう,標本・資料などにするために、取って集めること。,3517
再出,さいしゅつ,再び出すこと。また、再び出ること。,0
歳出,さいしゅつ,国・地方公共団体の一会計年度における一切の支出。,467
最初,さいしょ,いちばんはじめ。,130136
細書,さいしょ,１ 文字を細かく書くこと。また、その文字。２ 内容を詳しく書くこと。また、その文。,10
再勝,さいしょう,同じ相手に、もう一度勝つこと。,0
最小,さいしょう,いちばん小さいこと。,4299
最少,さいしょう,１ いちばん少ないこと。２ いちばん若いこと。最年少。,670
細小,さいしょう,細かく小さいこと。また、そのさま。,17
最上,さいじょう,１ 重なっているもののいちばん上。２ いちばんすぐれていること。この上ないこと。,3748
才色,さいしょく,女性のすぐれた才知と美しい顔だち。,34
菜食,さいしょく,野菜・果物など植物性の食品だけを食べること。,503
再審,さいしん,１ 審査しなおすこと。２ 確定判決などによって終了した事件について、一定の重大な瑕疵(かし)があることを理由として事件の再審理と確定判決の取り消しとを求めること、およびその手続き。日本の場合、民事訴訟においては判決に不服がある当事者が再審の訴えをもって不服を申し立てることができるが、刑事訴訟においては有罪判決を受けた被告人の利益になる場合のみ再審を行うことができる。,683
再診,さいしん,2回目からの診察。,13
最新,さいしん,いちばん新しいこと。,7731
最深,さいしん,１ 最も深いこと。２ 最もすぐれていること。,514
砕身,さいしん,身をくだくほどに苦労すること。,6
細心,さいしん,１ 細かいところまで心を配ること。また、そのさま。２ 気が小さいこと。また、そのさま。小心。,1657
才人,さいじん,１ 才知のある人。頭の鋭い人。才子。２ 抜け目のない人。３ 学芸にすぐれている人。４ 漢詩文の才能のある人。,398
再生,さいせい,１ 衰え、または死にかかっていたものが生き返ること。蘇生(そせい)。２ 心を改めて正しい生活に入ること。更生。３ 再びこの世に生まれること。再誕。４ 廃物を加工して、再び同種のものをつくり出すこと。５ 録音・録画したテープやディスクを装置にかけ、もとの音声・画像を出すこと。６ 生体の一部分が失われた場合、その部分が再びつくりだされる現象。トカゲの尾、カニの脚などでみられる。７ 心理学で、過去に学習または経験したものを思い出すこと。８ 花崗岩，片麻岩，片岩などの既存の岩石が熔融して，その場で新しいマグマが発生すること。,12185
最盛,さいせい,もっとも盛んなこと。いちばんの盛り。,3110
済生,さいせい,生命を救済すること。,87
砕石,さいせき,１ 岩石を砕くこと。また、砕かれた石。２ 役に立たない物事のたとえ。,216
載積,さいせき,積みこんでのせること。,3
再説,さいせつ,繰り返して説くこと。再び説明すること。,20
砕屑,さいせつ,細かく砕けたもの。,106
細節,さいせつ,こまごました規則。,3
細説,さいせつ,１ 細かな点まで説明すること。また、その説明。詳説。２ 取るに足りない話。つまらないうわさ。,19
