name,reading,meaning
夜陰,やいん,１ 夜の暗闇。２ 夜。夜間。
八重,やえ,１ 八つ重なっていること。２ いくつも重なっていること。３ 特に、花弁が何枚も重なっていること。
野営,やえい,野外に陣営を張ること。野外にテントを張って宿泊すること。また、その陣営。キャンプ。
矢面,やおもて,１ 質問や非難などをまともに受ける立場。２ 敵の矢の飛んでくる正面。
夜会,やかい,１ 夜、開かれる社交のための宴会。特に、音楽会・舞踏会・晩餐会など。２ 「夜会巻き」「夜会結び」の略。
野外,やがい,１ 野原。郊外。２ 家の外。屋外。
夜学,やがく,１ 夜間に学業を修める課程。また、その課程を設置した教育機関。２ 夜、学問をすること。
屋形,やかた,１ 地位・身分ある人の住む屋敷。また、その主人。おやかた。２ 仮ずまいのための形ばかりの小屋。かりや。寓居(ぐうきょ)。３ 牛車(ぎっしゃ)などの上につくった家の形をした覆い。４ 船の上にしつらえた屋根のある部屋。船屋形。５ 貴人を敬っていう語。また、特に中世、屋形号を許された大名の称。６ 「屋形船」の略。
夜間,やかん,夜の間。日没から翌朝の日の出までの間。夜。
薬缶,やかん,１ 湯を沸かすための道具。アルマイト・銅・ほうろうなどで作った鉄瓶に似たもの。湯沸かし。２ 「薬缶頭」の略。
夜気,やき,１ 夜の冷たい空気。２ 夜のけはい。
夜勤,やきん,夜間に勤務すること。夜間の勤務。
夜具,やぐ,夜、寝るときに用いる布団・毛布などの総称。寝具。
役員,やくいん,１ ある役目を担当する人。２ 会社・団体などの経営・業務執行・監査などを受け持つ幹部職員。
厄運,やくうん,めぐり合わせの悪いこと。不運。
薬液,やくえき,液体の薬。薬の溶液。
厄害,やくがい,厄難と災害。厄難による被害。
薬害,やくがい,１ 医薬品の副作用によって起こる健康上の被害。２ 農薬の散布によって農作物や動植物が受ける傷害。
薬学,やくがく,化学物質を健康増進・病気治療との関係から研究し、医薬品の性質や開発・製造・効能検定・管理などについて研究する学問。
役柄,やくがら,１ 役目のある身分。また、その役目上の体面。２ 役目の性質・内容。役向き。３ 演劇で、俳優が演じる人物の種別や性格。
訳語,やくご,翻訳に用いる語。また、ある語を訳した別の語。
厄災,やくさい,わざわい。災難。災厄。
薬剤,やくざい,薬品。薬物。くすり。特に、使用目的に合わせて薬物を調製したもの。
薬殺,やくさつ,毒薬を用いて殺すこと。
扼殺,やくさつ,手で首をしめて殺すこと。
薬餌,やくじ,病人にとっての、薬と食物。また、薬。
薬事,やくじ,医薬品・薬剤師・調剤などに関する事柄。
薬室,やくしつ,１ 薬を調合する部屋。２ 銃砲の爆薬を装塡(そうてん)する部分。
約日,やくじつ,約束した日。約束の期日。
役者,やくしゃ,１ 能楽・歌舞伎などで、役に扮(ふん)して演じる人。俳優。２ 駆け引きなどにたけている人。また、人前で抜け目なく振る舞う人。３ 役目に当たる人。役人。
訳者,やくしゃ,翻訳をした人。翻訳者。
役所,やくしょ,１ 役人が公務を取り扱う所。官公庁。２ 戦陣で、各将士が本拠とする詰所。３ 中世、関所のこと。４ 遊里で、遊女の出る張り見世。
躍如,やくじょ,いきいきとしていて目の前に見えるさま。
約定,やくじょう,約束してきめること。とりきめを交わすこと。契約。
役職,やくしょく,１ 役目とその仕事。２ 管理職。
躍進,やくしん,めざましい勢いで進出・発展すること。
薬石,やくせき,１ いろいろの薬や治療法。２ 身のためになる物事のたとえ。３ 禅寺で、非時(ひじ)の戒を守って夕食をとらなかったため、飢えや寒さをしのぐために温石(おんじゃく)として腹に当てた石。転じて、夜食の粥(かゆ)または夕食。
約説,やくせつ,かいつまんで説明すること。また、その説明。
薬草,やくそう,薬に用いる植物。薬用植物。
躍増,やくぞう,急激にふえること。飛躍的な増加。
約束,やくそく,１ 当事者の間で取り決めること。２ ある社会や組織で、守るように定めたきまり。３ その実現が確実視されていること。４ 前から決まっている運命。宿命。因縁。５ 特定の状況で、大多数から次の展開として期待される物事。また、映画や小説などで、定番の状況設定や典型的な物語の展開。６ 星新一のショートショート作品。ボッコちゃんに収録。
益体,やくたい,１ 役に立たないこと。また、そのさま。２ 役に立つこと。また、しまりのあること。きちんと整っていること。
約諾,やくだく,約束して承知すること。
訳注,やくちゅう,１ 翻訳と注釈。２ 翻訳文をよりよく理解するために翻訳者がつける注釈。
約転,やくてん,語中の連続する2音節において、音の脱落や融合によって別の音となること。
薬店,やくてん,薬を売る店。くすりや。
薬湯,やくとう,１ 薬をせんじ出した湯。せんじぐすり。湯薬。２ 薬を入れた入浴用の湯。くすりゆ。
躍動,やくどう,いきいきと活動すること。
役得,やくとく,その役目についていることによって得られる特別の利得や特権。
役所,やくどころ,１ その人にふさわしい役目。２ 与えられた役目。
厄年,やくどし,災難や障りが身に降りかかるおそれが多いので、万事に気をつけなければならないとする年齢。
役場,やくば,１ 町長・村長・地方公務員が事務を扱う所。また、その建物。２ 公証人などが事務をとる所。
厄日,やくび,１ 陰陽道(おんようどう)で、災難にあう恐れが多いとして慎まなければならない日。２ 農家で天候による災難が多いとする日。二百十日・二百二十日など。３ 災難にあった日。嫌なことのあった日。
薬品,やくひん,薬として用いられる品物。医薬品や化学物質。
薬物,やくぶつ,１ 薬理作用を有する化学物質。くすり。２ 特に、麻薬や覚醒剤のこと。
訳文,やくぶん,翻訳した文章。翻訳文。
訳本,やくほん,翻訳した本。訳書。
薬味,やくみ,１ 料理に添えて用い、味を引き立て食欲をそそる香辛料や香辛野菜。山椒・唐辛子・わさび・ねぎなど。２ 薬の種類。薬品。
役目,やくめ,役として成しとげなければならない仕事。役としての務め。
役名,やくめい,１ 芝居で、役の名前。２ 役職名。
約物,やくもの,印刷で、文字・数字以外の記号・符号活字の総称。句読点・括弧(かっこ)・数学記号など。
躍躍,やくやく,こおどりするさま。また、おどりたつほど生き生きとしたさま。
薬用,やくよう,薬として用いること。薬を用いて治療すること。
薬浴,やくよく,薬剤を入れて行う温浴。
薬理,やくり,薬物によって起こる生理的な変化。
役割,やくわり,役目を割り当てること。また、割り当てられた役目。
扼腕,やくわん,残念がったり憤慨したりして、自分の腕を握りしめること。
自棄,やけ,物事が自分の思いどおりに運ばなくて、どうにでもなれという気持ちになり、思慮のない乱暴な振る舞いをすること。
夜景,やけい,夜の景色。夜の眺め。
夜警,やけい,夜、見回って火災や犯罪などの警戒をすること。また、その役目の人。
火傷,やけど,火炎・熱湯や高温物体、熱線などに触れて皮膚が焼けただれること。
野語,やご,粗野な言葉。田舎の言葉。
夜光,やこう,暗いところで、光を出すこと。また、その光。夜間の大気光。
野菜,やさい,食用とする植物の総称。青物(あおもの)。蔬菜(そさい)。
優男,やさおとこ,姿かたちが上品ですらりとしている男。また、性質のやさしい男。風流・芸術を理解する男。
矢先,やさき,物事が始まろうとする、ちょうどそのとき。
野次,やじ,やじること。また、その言葉。
屋敷,やしき,家が建っている一区切りの土地。家屋なども含めていう。
玄孫,やしゃご,孫の孫。ひまごの子。げんそん。
野趣,やしゅ,自然のおもむき。また、田舎らしい素朴な味わい。
夜襲,やしゅう,夜、敵を襲うこと。夜討ち。
野獣,やじゅう,山野にすむけもの。野生のけもの。
夜食,やしょく,１ 夕食後、夜おそくなってからとる軽い食事。１ 夕食のこと。１ 夜、食べること。
矢印,やじるし,１ 方向などを示すための、矢の形をしたしるし。２ 射手を明示するために、矢につける姓名・家紋などのしるし。
野心,やしん,１ ひそかに抱く、大きな望み。また、身分不相応のよくない望み。野望。２ 新しいことに取り組もうとする気持ち。３ 野生の動物が人に馴れずに歯向かうように、人に馴れ服さず害を及ぼそうとする心。
安手,やすで,１ 値段の安いこと。安い部類に属すること。安価。２ 安っぽいこと。粗末で低級なこと。また、そのさま。
安値,やすね,１ 値段の安いこと。安い値段。２ 取引市場で、1日とか1か月といった間のうちでついた最も安い値段。
安物,やすもの,値段が安く、粗悪な物。
易易,やすやす,簡単に事を行うさま。また、容易に事態が進展するさま。たやすく。
野性,やせい,自然のままの性質。本能のままの性質。
八十,やそ,１ はちじゅう。２ 数の多いこと。
野草,やそう,山野に自生する草。野の草。
矢鱈,やたら,根拠・節度がないさま。筋が通らないさま。めちゃくちゃ。むやみ。
夜中,やちゅう,夜のあいだ。夜間。夜分。
野鳥,やちょう,野生の鳥。野禽(やきん)。
夜直,やちょく,夜の当直。宿直。
家賃,やちん,家や部屋の借り賃。たなちん。
薬禍,やっか,薬の誤用や副作用による災難。
厄介,やっかい,１ めんどうなこと。扱いに手数がかかり、わずらわしいこと。また、そのさま。２ めんどうをみること。また、世話になること。３ 他家に寄食すること。居候(いそうろう)。
約款,やっかん,１ 条約・契約などに定められている個々の条項。２ 保険や運送など不特定多数の利用者との契約を処理するため、あらかじめ定型的に定められた契約条項。保険約款・運送約款など。
躍起,やっき,あせってむきになること。また、そのさま。
薬局,やっきょく,１ 薬剤師が医薬品の調剤および販売を行う所や店。開設には都道府県知事の許可を必要とし、開設者が薬剤師でない場合には、管理者として専任の薬剤師を置かなければならない。２ 病院・診療所などで、薬を調合する所。
薬効,やっこう,薬のききめ。薬の効能。
鋏箸,やっとこばし,やっとこの手に持つ部分と、物をはさむ部分とが、はしのように長いもの。
奴等,やつら,１ 複数の人を卑しめていう語。２ 三人称の人代名詞。同等以下の複数の人を卑しめたり、親しみを込めたりしていう語。あいつら。
夜盗,やとう,１ 夜、物を盗みに入ること。また、その者。２ ヨトウガの幼虫。体は緑色で葉の裏についているが、大きくなると黒褐色または淡褐色の芋虫となり、昼間は土中や根際に隠れ、夜はい出して植物の葉を食べる。農作物の害虫。ねきりむし。
野党,やとう,政党政治において、政権を担当していない政党。
宿帳,やどちょう,旅館で、泊まり客の住所・氏名・職業などを書く帳面。
宿賃,やどちん,宿屋の宿泊料。宿銭。
宿主,やどぬし,１ 宿の主人。また、家の主人。２ 寄生生物に寄生される側の動物や植物。やどぬし。寄主(きしゅ)。
宿六,やどろく,１ 妻が自分の夫を卑しめたり、親愛の意を込めたりしていう語。２ 宿の主人。亭主。
柳腰,やなぎごし,細くしなやかな腰つき。また、細腰の美人。
家主,やぬし,１ 貸し家の所有者。いえぬし。おおや。２ 一家の主人。あるじ。
屋根,やね,１ 雨・風・日射などを防ぐために建物の最上部にあるおおい。２ 物の上部をおおうもの。また、最上部にあるもの。
夜半,やはん,夜中。
野蛮,やばん,１ 文化が開けていないこと。また、そのさま。２ 教養がなく、粗野なこと。また、そのさま。
野卑,やひ,言動が下品でいやしいこと。また、そのさま。
八尋,やひろ,いくひろもあること。非常に長いこと。また、非常に大きいこと。
藪蛇,やぶへび,よけいなことをして、かえって自分にとって悪い結果を招くこと。
夜分,やぶん,よる。夜中。
