name,reading,meaning,example
座位,ざい,１ 座席の位置。座席の順序。席次。 ２ すわった姿。 ３ 染色体やゲノム上における、遺伝子以外のDNA配列が占める位置。遺伝子の場合は遺伝子座とよばれる。ローカス。,110
罪悪,ざいあく,道徳や宗教の教えに背くこと。つみ。,3089
在位,ざいい,帝王の位にいること。また、ある地位にいること。また、その期間。,1866
財貨,ざいか,１ 金銭と品物。財物。２ 経済学で、人間の欲望を満たし、人間が支配・処分することのできるもの。有り余るほどあって売買の対象とならないものを自由財、欲望に比して希少性をもち、その獲得になんらかの努力を必要とし、売買の対象となるものを経済財という。財貨。,382
財界,ざいかい,大企業を中心とした実業家が構成している社会。経済界。,2067
在外,ざいがい,外国に居住・滞在していること。また、外国にあること。,835
在学,ざいがく,学生・生徒・児童として学校に籍を置くこと。,8320
在郷,ざいきょう,郷里にいること。ざいごう。,571
在勤,ざいきん,現在、ある勤務に就いていること。特に、地方などで勤務に就いていること。在職。在任。,357
在家,ざいけ,１ 出家せずに、普通の生活をしながら仏教に帰依すること。また、その人。在俗。２ いなかの家。ざいか。３ 中世、荘園・公領で、農民と耕地とを一体のものとして賦課の対象としたもの。東国や九州に多くみられる。,480
財形,ざいけい,勤労者の財産形成促進を目的として設けられた貯蓄制度。,44
財源,ざいげん,収入を生み出すもと。,1513
在庫,ざいこ,１ 商品が倉庫などにあること。また、その商品。２ 原材料・仕掛品・製品などが企業に保有されていること。また、それらの財貨。,1661
在校,ざいこう,１ 学生・生徒・児童として、学校に籍が置いてあること。在学。２ 教師や学生・生徒・児童が学校内にいること。,238
財産,ざいさん,１ 個人や団体などの所有している、金銭・有価証券や土地・家屋・物品などの金銭的な価値のあるものの総称。資産。２ ある主体に属する積極財産（資産）と消極財産（負債）の総体。３ あるものにとって、価値あるもの。金銭的価値にも精神的価値にもいう。,16388
在室,ざいしつ,室内にいること。,71
材質,ざいしつ,１ 木材の性質。２ 材料としての性質。,2402
材種,ざいしゅ,１ 木材を用途・形・寸法などに応じて区分した種類。２ 材料の種類。,8
在住,ざいじゅう,その地に住んでいること。,5141
在所,ざいしょ,１ 人が住んでいる所。また、物が存在する所。ありか。２ 郷里。くにもと。３ 都会から離れた地方。田舎。ざい。,634
罪状,ざいじょう,問われている罪の具体的な事実。,1073
在職,ざいしょく,ある職務についていること。,1642
財政,ざいせい,１ 国または地方公共団体が、その存立を維持し活動するために必要な財力を取得し、これを管理・処分する一切の作用。２ 個人・家庭・団体などの経済状態。かねまわり。,11819
在席,ざいせき,１ 職場の自分の席についていること。２ 職場に自分の席があること。在勤。,61
在籍,ざいせき,団体・学校などに属する者として登録されていること。,11588
罪跡,ざいせき,犯罪の証拠となる痕跡(こんせき)。,20
座板,ざいた,１ いすの、腰を下ろす部分の板。２ 床板(ゆかいた)。,9
在宅,ざいたく,外出しないで自分の家にいること。,900
財団,ざいだん,１ 一定の目的のために結合された財産の集合体。抵当権の目的とされる工場財団・鉱業財団など。２ 「財団法人」の略。,7273
在地,ざいち,１ 住んでいる土地。２ 田舎の土地。在所。在郷。,1059
在中,ざいちゅう,中に書類・金品などが入っていること。また、そのことを封筒や包みなどの表に示す語。,420
在日,ざいにち,外国人が日本に滞在、または居住していること。,2921
在任,ざいにん,任務に就いていること。また、任地にあること。,3537
罪人,ざいにん,罪を犯した人。つみびと。,3164
在否,ざいひ,いるかいないかということ。在宅と不在。,39
財物,ざいぶつ,１ 金銭と品物。財貨。たから。ざいもつ。２ 刑法上、窃盗・強盗・詐欺・恐喝・横領などの財産犯の客体となるもの。,396
財宝,ざいほう,財産や宝物。財産となる価値の高い物品。宝物。,2474
在民,ざいみん,人民の側にあること。国民がもっていること。,69
財務,ざいむ,財政に関する事務。,3513
罪名,ざいめい,１ 殺人罪・放火罪のように、犯罪の種類を表す名称。２ その罪を犯したといううわさ。,310
材木,ざいもく,樹木を切り出して建築物・製品材料などに用いられるようにしたもの。ふつう、角板や板の形をしているものをいう。木材。,3451
在野,ざいや,１ 公職に就かないで民間にいること。２ 与党に対して、野党の立場にあること。,524
在来,ざいらい,これまであったことや、行われていたこと。また、そのもの。今までどおり。,4156
在留,ざいりゅう,ある期間、ある土地にとどまって住むこと。特に、外国に居住する場合にいう。,923
材料,ざいりょう,１ ものを作るとき、そのもとにするもの。２ 研究や調査、または判断などを裏づける証拠とするもの。３ 芸術的表現の対象になるもの。題材・素材。４ 相場を動かすような要因。,16814
財力,ざいりょく,１ 財産があることによって生じる物事をなしうる力。金力。２ 費用を負担しうる能力。資力。経済力。,926
座員,ざいん,演劇の一座に属している人。,399
座学,ざがく,演習や訓練などの実技に対して、講義形式の学科のこと。,98
座興,ざきょう,１ 宴席などで、その場に興を添えるための芸や遊戯。２ その場かぎりの冗談や戯れ。,214
雑魚,ざこ,１ いろいろな種類の入り交じった小魚。また、小さい魚。じゃこ。２ 地位の低い者、取るに足りない者をたとえていう語。小物。,489
座高,ざこう,すわったときの上体の高さ。上体をまっすぐにしていすに腰掛けたときの、座面から頭頂までの高さをいう。,50
座敷,ざしき,１ 畳を敷きつめた部屋。特に、客間。２ 宴会の席。酒席。また、酒席での応対。３ 芸者・芸人などが招かれる酒席。４ しとね・円座・上げ畳など、すわるための座を敷くこと。また、そのようにした場所。通常の板敷きに対していう。,12311
座礁,ざしょう,船が暗礁に乗り上げること。,1093
挫傷,ざしょう,外部から鈍力が加えられたとき、皮膚の表面には傷がつかないで、内部組織や臓器に損傷が生じること。うちみ。挫創。,259
座州,ざす,船が浅瀬に乗り上げること。,2
座席,ざせき,すわる場所。すわる席。席。,13562
挫折,ざせつ,仕事や計画などが、中途で失敗しだめになること。また、そのために意欲・気力をなくすこと。,2412
座像,ざぞう,すわっている姿の像。,142
座卓,ざたく,畳・床にすわって使う机。,424
座長,ざちょう,１ 芝居・見世物・演芸などの一座の長。座頭(ざがしら)。２ 座談会や懇談会などで、会の進行や取りまとめなどをする役。,1100
雑役,ざつえき,主な業務以外の種々雑多な仕事。,533
雑益,ざつえき,特定の勘定科目に該当しない収入。,3
雑音,ざつおん,１ 不規則で不愉快に感じられる音。うるさい音。２ ラジオ・テレビ・電話などの聴取のさまたげとなる音。また、電気回路で、目的とする信号電流以外の、通信を妨害する電流。ノイズ。３ うわさや無責任な意見。,2174
雑貨,ざっか,日常生活に必要なこまごました品物。,2673
雑学,ざつがく,多方面にわたるまとまりのない知識や学問。また、学問とは関係のない雑多な知識。,296
雑感,ざっかん,雑多な感想。まとまりのない思いついたままの感想。とりとめのない感想。,52
雑観,ざっかん,新聞などで、記者がニュース対象から感じた印象や周囲の状況、関係者の反応などを記事にしたもの。,28
雑記,ざっき,いろいろな事柄を書きつけること。また、書きつけたもの。,403
雑技,ざつぎ,１ 民間に行われるさまざまな技芸。特に奈良時代、中国から伝来した曲芸・物まねなどをさすことが多い。雑芸(ぞうげい)。２ 取るに足らない技芸。３ 中国で、奇術や曲芸などを演じるもの。,62
雑居,ざっきょ,１ 種々のものが1か所に入りまじって存在すること。２ 一つの家に多くの家族が居住すること。３ 一つの部屋に何人もが居住すること。４ 同一地域にいろいろな人種が入り交じって居住すること。,1276
雑業,ざつぎょう,種々雑多な仕事や職業。また、一般の職業の分類に入れにくい職業。,10
雑菌,ざっきん,種々雑多な細菌などの微生物。特に、微生物や組織などの培養基中に他から混入した、培養の目的とするもの以外の微生物。,270
雑具,ざつぐ,種々雑多な道具。,39
雑誌,ざっし,１ 雑多な事柄を記載した書物。２ 複数の筆者が書き、定期的に刊行される出版物。週刊・月刊・季刊などがある。マガジン。,38693
雑事,ざつじ,本来の仕事以外のいろいろな用事。取るに足らない雑多な事柄。,391
雑種,ざっしゅ,１ いろいろな種類のものが入りまじっていること。また、そのもの。２ 品種など系統の異なる雌雄の交配によってできた個体。遺伝子に関してヘテロの状態であるもの。,1174
雑書,ざっしょ,１ 図書分類上、どの部門にも入らない書物。雑本。２ 雑多なことを記載した書物。雑本。３ 江戸時代、相性(あいしょう)・開運その他の俗説を記した書物。,96
雑色,ざっしょく,いろいろな色がまじった色。また、さまざまな色。,216
雑食,ざっしょく,植物性のものも動物性のものも食べること。,1036
雑然,ざつぜん,いろいろなものが入り乱れて、まとまりのないさま。,674
雑草,ざっそう,１ 自然に生えるいろいろな草。また、名も知らない雑多な草。２ 農耕地や庭などで、栽培目的の植物以外の草。３ 生命力・生活力が強いことのたとえ。,3933
雑則,ざっそく,本則以外のいろいろな細かい事項についての規則。,3
雑多,ざった,いろいろなものが入りまじっていること。また、そのさま。,1830
雑談,ざつだん,さまざまな内容のことを気楽に話すこと。また、その話。とりとめのない話。,2530
雑踏,ざっとう,多数の人で込み合うこと。人込み。,1556
雑念,ざつねん,気持ちの集中を妨げるいろいろな思い。,350
雑嚢,ざつのう,雑多なものを入れる袋。肩から掛ける布製のかばん。,259
雑費,ざっぴ,主要な用途以外のこまごました費用。一つの部類にまとめられない種々雑多な費用。,63
雑筆,ざっぴつ,雑多なことを書き記すこと。また、その書いたもの。雑記。雑録。,14
雑品,ざっぴん,こまごました、いろいろな品物。,43
雑文,ざつぶん,専門的でない、気軽に書き流した文章。,232
雑務,ざつむ,こまごましたいろいろの用務。ぞうむ。,309
雑用,ざつよう,１ こまごました、いろいろの用事。ぞうよう。２ こまごましたものの費用。雑費。,1201
座標,ざひょう,"点の位置を表す数、または数の組。平面上の点Pの座標は、直交する二直線への距離aとbで表し、P（a,b）と書く。",2543
挫滅,ざめつ,外部から強い衝撃、圧迫を受けて内部の組織が破壊されること。,46
座面,ざめん,椅子の、腰を下ろす部分。,228
座右,ざゆう,１ 座っている所のかたわら。手近な所。身近。ざう。２ 手紙文で、相手を直接さすのをはばかって代わりに用いる語。また、敬意を表す脇付の語。,209
座料,ざりょう,１ 座席代。席料。２ 芸人がその座敷をつとめた料金。,0
笊法,ざるほう,笊の目のように粗く、抜け道がたくさんある不備な法律。,0
座論,ざろん,座して議論すること。座上の論議。また、実行を伴わない口先だけの議論。,0
残骸,ざんがい,１ 戦場や災害地などにそのまま残された死体。２ 原形をとどめないほどに破壊された状態で残っているもの。,3988
残額,ざんがく,残りの数量または金額。残(ざん)。,332
残寒,ざんかん,寒(かん)が明けても残る寒さ。余寒。,0
慙愧,ざんき,自分の見苦しさや過ちを反省して、心に深く恥じること。,93
残虐,ざんぎゃく,人や生き物に対してする行為のむごたらしいこと。また、そのさま。,2440
残響,ざんきょう,音源が振動をやめたあとも、天井や壁などからの反射が繰り返されて、音が引き続き聞こえる現象。,407
残業,ざんぎょう,規定の勤務時間を過ぎてからも残って仕事をすること。また、その仕事。超過勤務。,1083
残金,ざんきん,１ 支出後に手もとに残った金。２ 支払うべき金額の未払い分。,211
讒言,ざんげん,事実を曲げたり、ありもしない事柄を作り上げたりして、その人のことを目上の人に悪く言うこと。,899
残光,ざんこう,消え残っている光。多く、日没後なお空に残っている光をいう。,249
残香,ざんこう,あとに残っている香。うつり香。残り香。,14
塹壕,ざんごう,１ 戦場で、歩兵が敵弾を避けるために作る防御施設。溝を掘り、前方に掘った土や土嚢(どのう)を積み上げたもの。２ 城やとりでの周囲の堀。,1761
残酷,ざんこく,無慈悲でむごたらしいこと。まともに見ていられないようなひどいやり方のさま。,5985
残痕,ざんこん,残っている跡。痕跡。,2
惨殺,ざんさつ,むごたらしい方法で殺すこと。,1222
斬殺,ざんさつ,人をきり殺すこと。,614
惨死,ざんし,むごたらしく死ぬこと。さんし。,162
残滓,ざんし,残りかす。,620
暫時,ざんじ,少しの間。しばらく。副詞的にも用いる。,627
