unicode,character
U+54c0,哀
U+6170,慰
U+8a60,詠
U+60a6,悦
U+95b2,閲
U+5bb4,宴
U+708e,炎
U+6b27,欧
U+6bb4,殴
U+4e59,乙
U+5378,卸
U+7a4f,穏
U+4f73,佳
U+5ac1,嫁
U+67b6,架
U+83ef,華
U+9913,餓
U+584a,塊
U+602a,怪
U+6094,悔
U+6168,慨
U+6982,概
U+8a72,該
U+7a6b,穫
U+90ed,郭
U+9694,隔
U+5cb3,岳
U+639b,掛
U+6ed1,滑
U+51a0,冠
U+52d8,勘
U+559a,喚
U+63db,換
U+6562,敢
U+7de9,緩
U+809d,肝
U+8cab,貫
U+4f01,企
U+5c90,岐
U+5fcc,忌
U+65e2,既
U+68cb,棋
U+68c4,棄
U+8ecc,軌
U+9a0e,騎
U+6b3a,欺
U+72a0,犠
U+83ca,菊
U+5409,吉
U+55ab,喫
U+8650,虐
U+865a,虚
U+5ce1,峡
U+8105,脅
U+51dd,凝
U+65a4,斤
U+7dca,緊
U+611a,愚
U+5076,偶
U+9047,遇
U+6851,桑
U+5211,刑
U+5553,啓
U+5951,契
U+61a9,憩
U+63b2,掲
U+643a,携
U+9d8f,鶏
U+9be8,鯨
U+5039,倹
U+8ce2,賢
U+5e7b,幻
U+5b64,孤
U+5f27,弧
U+96c7,雇
U+9867,顧
U+5a2f,娯
U+609f,悟
U+5751,坑
U+5b54,孔
U+5de7,巧
U+614c,慌
U+62d8,拘
U+63a7,控
U+7532,甲
U+786c,硬
U+7d5e,絞
U+7db1,綱
U+90ca,郊
U+9175,酵
U+514b,克
U+7344,獄
U+58be,墾
U+6068,恨
U+7d3a,紺
U+9b42,魂
U+50b5,債
U+50ac,催
U+524a,削
U+643e,搾
U+932f,錯
U+64ae,撮
U+64e6,擦
U+66ab,暫
U+65bd,施
U+7949,祉
U+8aee,諮
U+4f8d,侍
U+6148,慈
U+8ef8,軸
U+6e7f,湿
U+75be,疾
U+8d66,赦
U+90aa,邪
U+6b8a,殊
U+5bff,寿
U+6f64,潤
U+9075,遵
U+5f90,徐
U+5320,匠
U+638c,掌
U+6607,昇
U+6676,晶
U+7126,焦
U+885d,衝
U+9418,鐘
U+5197,冗
U+5b22,嬢
U+8b72,譲
U+9320,錠
U+5631,嘱
U+8fb1,辱
U+4f38,伸
U+5be9,審
U+8f9b,辛
U+708a,炊
U+7c8b,粋
U+8870,衰
U+9042,遂
U+9154,酔
U+968f,随
U+9ac4,髄
U+702c,瀬
U+7272,牲
U+8acb,請
U+96bb,隻
U+60dc,惜
U+65a5,斥
U+7c4d,籍
U+6442,摂
U+6f5c,潜
U+7e55,繕
U+63aa,措
U+790e,礎
U+7c97,粗
U+963b,阻
U+53cc,双
U+6383,掃
U+846c,葬
U+906d,遭
U+618e,憎
U+4fc3,促
U+8cca,賊
U+6020,怠
U+6ede,滞
U+80ce,胎
U+888b,袋
U+902e,逮
U+6edd,滝
U+5353,卓
U+629e,択
U+8a17,託
U+8afe,諾
U+596a,奪
U+80c6,胆
U+935b,鍛
U+58c7,壇
U+7a1a,稚
U+755c,畜
U+7a92,窒
U+62bd,抽
U+92f3,鋳
U+99d0,駐
U+5f6b,彫
U+8074,聴
U+8d85,超
U+93ae,鎮
U+9673,陳
U+589c,墜
U+5e1d,帝
U+7de0,締
U+8a02,訂
U+54f2,哲
U+5857,塗
U+6597,斗
U+51cd,凍
U+75d8,痘
U+9676,陶
U+533f,匿
U+7be4,篤
U+8c5a,豚
U+5982,如
U+5c3f,尿
U+7c98,粘
U+5a46,婆
U+6392,排
U+966a,陪
U+7e1b,縛
U+4f10,伐
U+4f34,伴
U+5e06,帆
U+7554,畔
U+85e9,藩
U+86ee,蛮
U+5351,卑
U+6ccc,泌
U+7891,碑
U+59eb,姫
U+6f02,漂
U+82d7,苗
U+7b26,符
U+8d74,赴
U+5c01,封
U+4f0f,伏
U+8986,覆
U+58b3,墳
U+7d1b,紛
U+7656,癖
U+7a42,穂
U+52df,募
U+6155,慕
U+7c3f,簿
U+5023,倣
U+5949,奉
U+5d29,崩
U+7e2b,縫
U+80de,胞
U+82b3,芳
U+90a6,邦
U+98fd,飽
U+4e4f,乏
U+59a8,妨
U+623f,房
U+67d0,某
U+81a8,膨
U+8b00,謀
U+58a8,墨
U+6ca1,没
U+7ffb,翻
U+9b54,魔
U+57cb,埋
U+819c,膜
U+53c8,又
U+9b45,魅
U+5a7f,婿
U+6ec5,滅
U+514d,免
U+5e7d,幽
U+6182,憂
U+8a98,誘
U+63da,揚
U+63fa,揺
U+64c1,擁
U+6291,抑
U+88f8,裸
U+6feb,濫
U+540f,吏
U+9686,隆
U+4e86,了
U+731f,猟
U+7ce7,糧
U+9675,陵
U+5398,厘
U+52b1,励
U+96f6,零
U+970a,霊
U+88c2,裂
U+5ec9,廉
U+932c,錬
U+7089,炉
U+5eca,廊
U+697c,楼
U+6d6a,浪
U+6f0f,漏
U+6e7e,湾
