category,name,reading,kanji,first,second,third,fourth
少年漫画に登場する人物の名前一覧,桜木花道,さくらぎ はなみち,"[[""草"", ""桜草"", ""草木"", ""草花"", ""道草""]]"
女優の名前一覧,内山理名,うちやま りな,"[[""地"", ""内地"", ""山地"", ""地理"", ""地名""]]"
女優の名前一覧,水野美紀,みずの みき,"[[""風"", ""風水"", ""野風"", ""美風"", ""風紀""]]"
俳優の名前一覧,菅原文太,すがわら ぶんた,"[[""平"", ""菅平"", ""平原"", ""平文"", ""太平""]]"
バンド・グループ・デュオの名前一覧,吉田美和,よしだ みわ,"[[""大"", ""大吉"", ""大田"", ""美大"", ""和大""]]"
バンド・グループ・デュオの名前一覧,中村正人,なかむら まさと,"[[""道"", ""道中"", ""村道"", ""正道"", ""道人""]]"
少女漫画に登場する人物の名前一覧,月影千草,つきかげ ちぐさ,"[[""本"", ""本月"", ""本影"", ""千本"", ""草本""]]"
野球選手の名前一覧,駒田徳広,こまだ のりひろ,"[[""大"", ""駒大"", ""大田"", ""大徳"", ""広大""]]"
野球選手の名前一覧,高木守道,たかぎ もりみち,"[""花"", ""高花"", ""木花"", ""花守"", ""花道""]]"
野球選手の名前一覧,金田正一,かねだ まさいち,"[[""大"", ""金大"", ""大田"", ""大正"", ""一大""]]"
