yojijukugo,reading,link
哀哀父母,あいあいふぼ,https://www.kanjipedia.jp//kotoba/0000015300
合縁奇縁,あいえんきえん,https://www.kanjipedia.jp//kotoba/0002341500
哀毀骨立,あいきこつりつ,https://www.kanjipedia.jp//kotoba/0000016000
哀矜懲創,あいきょうちょうそう,https://www.kanjipedia.jp//kotoba/0000016100
相碁井目,あいごせいもく,https://www.kanjipedia.jp//kotoba/0004218600
哀糸豪竹,あいしごうちく,https://www.kanjipedia.jp//kotoba/0000016300
愛別離苦,アイベツリク,https://www.kanjipedia.jp//kotoba/0000023300
曖昧模糊,アイマイモコ,https://www.kanjipedia.jp//kotoba/0000027000
哀鳴啾啾,あいめいしゅうしゅう,https://www.kanjipedia.jp//kotoba/0000017100
青息吐息,あおいきといき,https://www.kanjipedia.jp//kotoba/0003866700
悪衣悪食,あくいあくしょく,https://www.kanjipedia.jp//kotoba/0000042300
悪因悪果,あくいんあっか,https://www.kanjipedia.jp//kotoba/0000042400
悪逆無道,あくぎゃくむどう,https://www.kanjipedia.jp//kotoba/0000042900
悪酔強酒,あくすいきょうしゅ,https://www.kanjipedia.jp//kotoba/0000044200
悪戦苦闘,あくせんくとう,https://www.kanjipedia.jp//kotoba/0000044700
悪人正機,アクニンショウキ,https://www.kanjipedia.jp//kotoba/0000045500
握髪吐哺,あくはつとほ,https://www.kanjipedia.jp//kotoba/0000050800
悪木盗泉,あくぼくとうせん,https://www.kanjipedia.jp//kotoba/0000046500
鴉雀無声,あじゃくむせい,https://www.kanjipedia.jp//kotoba/0000012000
啞然失笑,あぜんしっしょう,https://www.kanjipedia.jp//kotoba/0000008500
鴉巣生鳳,あそうせいほう,https://www.kanjipedia.jp//kotoba/0000012100
悪口雑言,あっこうぞうごん,https://www.kanjipedia.jp//kotoba/0000048000
阿鼻叫喚,あびきょうかん,https://www.kanjipedia.jp//kotoba/0000005000
阿鼻地獄,あびじごく,https://www.kanjipedia.jp//kotoba/0000005100
阿附迎合,あふげいごう,https://www.kanjipedia.jp//kotoba/0000005200
蛙鳴蟬噪,あめいせんそう,https://www.kanjipedia.jp//kotoba/0000010400
"阿追従
",あゆついしょう,https://www.kanjipedia.jp//kotoba/0000006400
阿頼耶識,あらやしき,https://www.kanjipedia.jp//kotoba/0000006700
暗雲低迷,あんうんていめい,https://www.kanjipedia.jp//kotoba/0000109400
安居楽業,あんきょらくぎょう,https://www.kanjipedia.jp//kotoba/0000099300
暗香疎影,あんこうそえい,https://www.kanjipedia.jp//kotoba/0000110300
安車蒲輪,あんしゃほりん,https://www.kanjipedia.jp//kotoba/0000099800
安心立命,あんしんりつめい,https://www.kanjipedia.jp//kotoba/0000100100
暗送秋波,あんそうしゅうは,https://www.kanjipedia.jp//kotoba/0000111300
安宅正路,あんたくせいろ,https://www.kanjipedia.jp//kotoba/0000100700
暗中飛躍,あんちゅうひやく,https://www.kanjipedia.jp//kotoba/0000111500
暗中模索,あんちゅうもさく,https://www.kanjipedia.jp//kotoba/0000111600
安養浄土,あんにょうじょうど,https://www.kanjipedia.jp//kotoba/0000101400
安寧秩序,あんねいちつじょ,https://www.kanjipedia.jp//kotoba/0000101600
安穏無事,あんのんぶじ,https://www.kanjipedia.jp//kotoba/0000101800
