kanji,first,second,third,fourth, yojijukugo
"中", "意中", "在中", "中言", "中外", 意在言外
"外", "以外", "外心", "外伝", "心外", 以心伝心
"別", "一別", "別言", "別居", "士別", 一言居志
"同", "同一", "同期", "一同", "会同", 一期一会
"本", "一本", "本人", "本当", "千本", 一人当千
"風", "雨風", "風露", "風霜", "雪風", 雨露霜雪
"一", "一花", "朝一", "月一", "一夕", 花朝月夕
"手", "挙手", "手足", "手軽", "重手", 挙足軽重
"山", "山月", "山下", "氷山", "人山", 月下氷人
"流", "流血", "脈流", "貫流", "流通", 血脈貫通
"下", "高下", "山下", "下流", "下水", 高山流水
"食", "食後", "生食", "大食", "食事", 後生大事
"石", "石山", "石高", "水石", "長石", 山高水長
"水", "清水", "風水", "水明", "水月", 清風明月
"中", "中世", "道中", "人中", "中心", 世道人心
"大", "大台", "大風", "一大", "過大", 台風一過
"生", "生地", "平生", "天生", "生成", 地平天成
"白", "白読", "白書", "三白", "余白", 読書三余
"水", "水難", "行水", "苦水", "水行", 苦行難行
"流", "流入", "流木", "三流", "分流", 入木三分
"山", "白山", "玉山", "山楼", "山中", 白玉楼中
"下", "幕下", "天下", "下席", "下地", 幕天席地
"一", "万一", "一物", "一斉", "同一", 万物斉同
"出", "人出", "出身", "出御", "供出", 人身御供
"論", "無論", "理論", "論難", "論題", 無理難題
"物", "物名", "実物", "一物", "物体", 名実一体
"曲", "曲面", "曲目", "一曲", "新曲", 面目一新
"毛", "綿毛", "裏毛", "毛包", "毛針", 綿裏包針
"異", "妖異", "怪異", "異変", "異化", 妖怪変化
"年", "老年", "若年", "年男", "年女", 老若男女
