id,character,jis,joyo,kanken,primary_school
1,一,1,1,10,1
2,丁,1,1,8,3
3,七,1,1,10,1
4,万,1,1,9,2
5,丈,1,1,4,0
6,三,1,1,10,1
7,上,1,1,10,1
8,下,1,1,10,1
9,不,1,1,7,4
10,与,1,1,4,0
11,丑,1,0,0,0
12,且,1,1,0,0
13,世,1,1,8,3
14,丘,1,1,4,0
15,丙,1,1,0,0
16,丞,1,0,0,0
17,両,1,1,8,3
18,並,1,1,5,6
19,中,1,1,10,1
20,串,1,1,2,0
21,丸,1,1,9,2
22,丹,1,1,4,0
23,主,1,1,8,3
24,乃,1,0,0,0
25,久,1,1,6,5
26,之,1,0,0,0
27,乍,1,0,0,0
28,乎,1,0,0,0
29,乏,1,1,3,0
30,乗,1,1,8,3
31,乙,1,1,3,0
32,九,1,1,10,1
33,乞,1,1,2,0
34,也,1,0,0,0
35,乱,1,1,5,6
36,乳,1,1,5,6
37,乾,1,1,4,0
38,亀,1,1,2,0
39,了,1,1,3,0
40,予,1,1,8,3
41,争,1,1,7,4
42,事,1,1,8,3
43,二,1,1,10,1
44,云,1,0,0,0
45,互,1,1,4,0
46,五,1,1,10,1
47,井,1,1,4,0
48,亘,1,0,0,0
49,亙,1,0,0,0
50,些,1,0,0,0
51,亜,1,1,0,0
52,亡,1,1,5,6
53,交,1,1,9,2
54,亥,1,0,0,0
55,亦,1,0,0,0
56,亨,1,0,0,0
57,享,1,1,0,0
58,京,1,1,9,2
59,亭,1,1,0,0
60,亮,1,0,0,0
61,人,1,1,10,1
62,什,1,0,0,0
63,仁,1,1,5,6
64,仇,1,0,0,0
65,今,1,1,9,2
66,介,1,1,4,0
67,仏,1,1,6,5
68,仔,1,0,0,0
69,仕,1,1,8,3
70,他,1,1,8,3
71,付,1,1,7,4
72,仙,1,1,0,0
73,代,1,1,8,3
74,令,1,1,7,4
75,以,1,1,7,4
76,仮,1,1,6,5
77,仰,1,1,4,0
78,仲,1,1,7,4
79,件,1,1,6,5
80,任,1,1,6,5
81,企,1,1,3,0
82,伊,1,0,0,0
83,伍,1,0,0,0
84,伎,1,1,2,0
85,伏,1,1,3,0
86,伐,1,1,3,0
87,休,1,1,10,1
88,会,1,1,9,2
89,伝,1,1,7,4
90,伯,1,1,0,0
91,伴,1,1,3,0
92,伶,1,0,0,0
93,伸,1,1,3,0
94,伺,1,1,4,0
95,似,1,1,6,5
96,伽,1,0,0,0
97,佃,1,0,0,0
98,但,1,1,0,0
99,位,1,1,7,4
100,低,1,1,7,4
101,住,1,1,8,3
102,佐,1,1,0,0
103,佑,1,0,0,0
104,体,1,1,9,2
105,何,1,1,9,2
106,余,1,1,6,5
107,作,1,1,9,2
108,佳,1,1,3,0
109,併,1,1,0,0
110,佼,1,0,0,0
111,使,1,1,8,3
112,侃,1,0,0,0
113,例,1,1,7,4
114,侍,1,1,3,0
115,供,1,1,5,6
116,依,1,1,4,0
117,侠,1,0,0,0
118,価,1,1,6,5
119,侭,1,0,0,0
120,侮,1,1,0,0
121,侯,1,1,0,0
122,侵,1,1,4,0
123,侶,1,1,2,0
124,便,1,1,7,4
125,係,1,1,8,3
126,促,1,1,3,0
127,俄,1,0,0,0
128,俊,1,1,0,0
129,俗,1,1,4,0
130,保,1,1,6,5
131,信,1,1,7,4
132,俣,1,0,0,0
133,修,1,1,6,5
134,俳,1,1,5,6
135,俵,1,1,6,5
136,俸,1,1,0,0
137,俺,1,1,2,0
138,倉,1,1,7,4
139,個,1,1,6,5
140,倍,1,1,8,3
141,倒,1,1,4,0
142,倖,1,0,0,0
143,候,1,1,7,4
144,借,1,1,7,4
145,倣,1,1,3,0
146,値,1,1,5,6
147,倦,1,0,0,0
148,倫,1,1,0,0
149,倭,1,0,0,0
150,倶,1,0,0,0
151,倹,1,1,3,0
152,偉,1,1,4,0
153,偏,1,1,0,0
154,停,1,1,7,4
155,健,1,1,7,4
156,偲,1,0,0,0
157,側,1,1,7,4
158,偵,1,1,0,0
159,偶,1,1,3,0
160,偽,1,1,0,0
161,傍,1,1,4,0
162,傑,1,1,0,0
163,傘,1,1,0,0
164,備,1,1,6,5
165,催,1,1,3,0
166,傭,1,0,0,0
167,債,1,1,3,0
168,傷,1,1,5,6
169,傾,1,1,4,0
170,僅,1,1,2,0
171,働,1,1,7,4
172,像,1,1,6,5
173,僑,1,0,0,0
174,僕,1,1,0,0
175,僚,1,1,0,0
176,僧,1,1,4,0
177,僻,1,0,0,0
178,儀,1,1,4,0
179,億,1,1,7,4
180,儒,1,1,0,0
181,償,1,1,0,0
182,優,1,1,5,6
183,儲,1,0,0,0
184,允,1,0,0,0
185,元,1,1,9,2
186,兄,1,1,9,2
187,充,1,1,0,0
188,兆,1,1,7,4
189,兇,1,0,0,0
190,先,1,1,10,1
191,光,1,1,9,2
192,克,1,1,3,0
193,免,1,1,3,0
194,兎,1,0,0,0
195,児,1,1,7,4
196,党,1,1,5,6
197,兜,1,0,0,0
198,入,1,1,10,1
199,全,1,1,8,3
200,八,1,1,10,1
201,公,1,1,9,2
202,六,1,1,10,1
203,共,1,1,7,4
204,兵,1,1,7,4
205,其,1,0,0,0
206,具,1,1,8,3
207,典,1,1,7,4
208,兼,1,1,4,0
209,内,1,1,9,2
210,円,1,1,10,1
211,冊,1,1,5,6
212,再,1,1,6,5
213,冒,1,1,4,0
214,冗,1,1,3,0
215,写,1,1,8,3
216,冠,1,1,3,0
217,冥,1,1,2,0
218,冨,1,0,0,0
219,冬,1,1,9,2
220,冴,1,0,0,0
221,冶,1,1,2,0
222,冷,1,1,7,4
223,凄,1,1,2,0
224,准,1,1,0,0
225,凋,1,0,0,0
226,凌,1,0,0,0
227,凍,1,1,3,0
228,凝,1,1,3,0
229,凡,1,1,4,0
230,処,1,1,5,6
231,凧,1,0,0,0
232,凪,1,0,0,0
233,凱,1,0,0,0
234,凶,1,1,4,0
235,凸,1,1,0,0
236,凹,1,1,0,0
237,出,1,1,10,1
238,函,1,0,0,0
239,刀,1,1,9,2
240,刃,1,1,0,0
241,分,1,1,9,2
242,切,1,1,9,2
243,刈,1,1,4,0
244,刊,1,1,6,5
245,刑,1,1,3,0
246,列,1,1,8,3
247,初,1,1,7,4
248,判,1,1,6,5
249,別,1,1,7,4
250,利,1,1,7,4
251,到,1,1,4,0
252,制,1,1,6,5
253,刷,1,1,7,4
254,券,1,1,6,5
255,刺,1,1,4,0
256,刻,1,1,5,6
257,剃,1,0,0,0
258,則,1,1,6,5
259,削,1,1,3,0
260,前,1,1,9,2
261,剖,1,1,0,0
262,剛,1,1,0,0
263,剣,1,1,4,0
264,剤,1,1,4,0
265,剥,1,1,2,0
266,副,1,1,7,4
267,剰,1,1,0,0
268,割,1,1,5,6
269,創,1,1,5,6
270,劃,1,0,0,0
271,劇,1,1,5,6
272,劉,1,0,0,0
273,力,1,1,10,1
274,功,1,1,7,4
275,加,1,1,7,4
276,劣,1,1,4,0
277,助,1,1,8,3
278,努,1,1,7,4
279,劫,1,0,0,0
280,励,1,1,3,0
281,労,1,1,7,4
282,効,1,1,6,5
283,劾,1,1,0,0
284,勃,1,1,2,0
285,勅,1,1,0,0
286,勇,1,1,7,4
287,勉,1,1,8,3
288,動,1,1,8,3
289,勘,1,1,3,0
290,務,1,1,6,5
291,勝,1,1,8,3
292,募,1,1,3,0
293,勢,1,1,6,5
294,勤,1,1,5,6
295,勧,1,1,4,0
296,勲,1,1,0,0
297,勺,1,0,0,0
298,勾,1,1,2,0
299,勿,1,0,0,0
300,匁,1,0,0,0
301,匂,1,1,2,0
302,包,1,1,7,4
303,化,1,1,8,3
304,北,1,1,9,2
305,匙,1,0,0,0
306,匝,1,0,0,0
307,匠,1,1,3,0
308,匡,1,0,0,0
309,匪,1,0,0,0
310,匹,1,1,4,0
311,区,1,1,8,3
312,医,1,1,8,3
313,匿,1,1,3,0
314,十,1,1,10,1
315,千,1,1,10,1
316,升,1,1,0,0
317,午,1,1,9,2
318,半,1,1,9,2
319,卑,1,1,3,0
320,卒,1,1,7,4
321,卓,1,1,3,0
322,協,1,1,7,4
323,南,1,1,9,2
324,単,1,1,7,4
325,博,1,1,7,4
326,卜,1,0,0,0
327,占,1,1,4,0
328,卦,1,0,0,0
329,卯,1,0,0,0
330,印,1,1,7,4
331,危,1,1,5,6
332,即,1,1,4,0
333,却,1,1,4,0
334,卵,1,1,5,6
335,卸,1,1,3,0
336,卿,1,0,0,0
337,厄,1,1,0,0
338,厘,1,1,3,0
339,厚,1,1,6,5
340,原,1,1,9,2
341,厨,1,0,0,0
342,厩,1,0,0,0
343,厭,1,0,0,0
344,厳,1,1,5,6
345,去,1,1,8,3
346,参,1,1,7,4
347,又,1,1,3,0
348,叉,1,0,0,0
349,及,1,1,4,0
350,友,1,1,9,2
351,双,1,1,3,0
352,反,1,1,8,3
353,収,1,1,5,6
354,叔,1,1,0,0
355,取,1,1,8,3
356,受,1,1,8,3
357,叙,1,1,0,0
358,叛,1,0,0,0
359,叡,1,0,0,0
360,叢,1,0,0,0
361,口,1,1,10,1
362,古,1,1,9,2
363,句,1,1,6,5
364,叩,1,0,0,0
365,只,1,0,0,0
366,叫,1,1,4,0
367,召,1,1,4,0
368,可,1,1,6,5
369,台,1,1,9,2
370,叱,1,1,2,0
371,史,1,1,7,4
372,右,1,1,10,1
373,叶,1,0,0,0
374,号,1,1,8,3
375,司,1,1,7,4
376,吃,1,0,0,0
377,各,1,1,7,4
378,合,1,1,9,2
379,吉,1,1,3,0
380,吊,1,0,0,0
381,吋,1,0,0,0
382,同,1,1,9,2
383,名,1,1,10,1
384,后,1,1,5,6
385,吏,1,1,3,0
386,吐,1,1,4,0
387,向,1,1,8,3
388,君,1,1,8,3
389,吟,1,1,0,0
390,吠,1,0,0,0
391,否,1,1,5,6
392,含,1,1,4,0
393,吸,1,1,5,6
394,吹,1,1,4,0
395,吻,1,0,0,0
396,吾,1,0,0,0
397,呂,1,1,2,0
398,呆,1,0,0,0
399,呈,1,1,0,0
400,呉,1,1,0,0
401,告,1,1,7,4
402,呑,1,0,0,0
403,周,1,1,7,4
404,呪,1,1,2,0
405,味,1,1,8,3
406,呼,1,1,5,6
407,命,1,1,8,3
408,咋,1,0,0,0
409,和,1,1,8,3
410,咲,1,1,4,0
411,咳,1,0,0,0
412,咽,1,1,2,0
413,哀,1,1,3,0
414,品,1,1,8,3
415,哉,1,0,0,0
