name,reading,meaning
嗚呼,ああ,物事に深く感じたり驚いたりした気持ちを直接表す語。
愛飲,あいいん,いつも好んで飲むこと。
哀婉,あいえん,あわれで美しく、しとやかなさま。
哀歌,あいか,悲しい気持ちを表した歌。悲歌。エレジー。
合鍵,あいかぎ,その錠に合う別の鍵。複製の鍵や親鍵（マスターキー）など。
哀感,あいかん,もの悲しい感じ。悲しみや哀れを誘う感じ。
哀願,あいがん,事情を述べて相手の同情心に訴え、ひたすら頼むこと。
愛玩,あいがん,大切にし、かわいがること。多く、小さな動物についていう。また、いつくしみ楽しむこと。
愛機,あいき,日ごろ好んで使い、大事にしている写真機などの機器。また、愛用の飛行機。
相客,あいきゃく,１同じ場所で、たまたまそこに来合わせた客。２旅館などで、他の客と相部屋になること。また、その客どうし。
哀求,あいきゅう,事情を述べ、相手の同情に訴えて願い求めること。
哀泣,あいきゅう,悲しんで泣くこと。
哀叫,あいきょう,悲しそうに泣き叫ぶこと。
愛嬌,あいきょう,１にこやかで、かわいらしいこと。２ひょうきんで、憎めない表情・しぐさ。３相手を喜ばせるような言葉・振る舞い。４座に興を添えるもの。ちょっとしたサービス。座興。
愛顧,あいこ,目をかけ引き立てること。引き立てられる側からいう語。ひいき。
愛護,あいご,１かわいがって庇護すること。２歌舞伎の稚児(ちご)用のかつらの一。
愛好,あいこう,その事が好きで楽しむこと。
哀号,あいごう,人の死を悲しんで大声で泣き叫ぶこと。また、その泣き声。
哀哭,あいこく,声をあげて泣き悲しむこと。
愛国,あいこく,自分の国を愛すること。
愛妻,あいさい,１愛し、大切にしている妻。２妻を大事にすること。
挨拶,あいさつ,１人に会ったときや別れるときなどに取り交わす礼にかなった動作や言葉。２会合の席や集会で、改まって祝意や謝意などを述べること。また、その言葉。３相手に対して敬意や謝意などを表すこと。また、その動作や言葉。４相手の非礼な言葉や態度を皮肉っていう語。５やくざや不良仲間で、仕返しをいう語。６争い事の中に立って仲裁すること。また、その人。７応答のしかた。口のきき方。８人と人との間柄。仲。
愛社,あいしゃ,自分の勤務する会社を大切に思うこと。
愛車,あいしゃ,日ごろ好んで乗って、大事にしている自動車やバイク・自転車。
哀愁,あいしゅう,寂しくもの悲しい気持ち。もの悲しさ。ペーソス。
愛執,あいしゅう,愛するものに心がとらわれて離れられないこと。
哀傷,あいしょう,１心に深く感じて物思いに沈むこと。２人の死を悲しみ嘆くこと。
愛妾,あいしょう,気に入りのめかけ。
愛称,あいしょう,親しみを込めてよぶ呼び名。ニックネーム。ペットネーム。
相性,あいしょう,１男女の生まれを暦の干支(えと)や九星などに当てて相生(そうせい)・相克を知り、二人の縁を定めること。中国の五行(ごぎょう)思想から出た考え方。２互いの性格・調子などの合い方。
愛情,あいじょう,１深く愛し、いつくしむ心。２異性を恋い慕う心。
合図,あいず,身ぶりなどで知らせること。前もって取り決めた方法で物事を知らせること。また、その方法や信号。
