id,idiom,reading,meaning
甲斐,かい,１ 行動の結果として現れるしるし。努力した効果。２ 期待できるだけの値うち。３ 旧国名の一。山梨県全域にあたる。甲州。４ 山梨県北西部の市。甲府盆地の北西部を流れる釜無川の左岸に広がる。北部は山岳・丘陵地帯で、昇仙峡がある。果樹栽培やワイン醸造も盛ん。
改案,かいあん,案を改めること。また、改めた案。
怪異,かいい,１ 現実にはありえないような、不思議な事実。また、そのさま。２ 化け物。変化(へんげ)。妖怪(ようかい)。
会員,かいいん,ある会に加わっている個人または法人。
開運,かいうん,１ 運が開けること。幸運に向かうこと。２ 静岡の日本酒。酒名は、地元の発展を願って命名。原料米は主に山田錦。純米大吟醸酒、大吟醸酒、純米吟醸酒、吟醸酒、純米酒、本醸造酒などがある。全国新酒鑑評会で受賞実績多数。仕込み水は高天神(たかてんじん)城跡の湧水。蔵元の「土井酒造場」は明治5年(1872)創業。
怪演,かいえん,不気味でありながら、奇妙な魅力のある演技。
開園,かいえん,１ 幼稚園・動物園など「園」と名のつく施設を新たに開くこと。また、そのような施設が新たに開かれること。２ 公園・動物園などが、客を入れてその日の業務を始めること。
開花,かいか,１ 草木の花が咲くこと。 ２ 物事が盛んになること。 ３ 成果となって現れること。
絵画,かいが,造形美術の一。線や色彩で、物の形・姿を平面上に描き出したもの。絵。画。
怪怪,かいかい,非常にあやしいさま。
開会,かいかい,会議や集会を始めること。また、始まること。
海外,かいがい,海の向こうの国。外国。
改革,かいかく,１ 基盤は維持しつつ、社会制度や機構・組織などをあらため変えること。２ よりよくあらためること。
快活,かいかつ,気持ちや性質が明るく元気のよいさま。
会館,かいかん,集会・会議・儀式などに用いる目的で建てた建物。
快感,かいかん,こころよい感じ。いい気持ち。
海岸,かいがん,陸地が海と接する地帯。海辺。
回帰,かいき,ひとまわりして、もとの所に帰ること。
快気,かいき,１ さっぱりして気持ちがよいこと。２ 病気が治ること。全快。
怪奇,かいき,１ あやしく不思議なこと。また、そのさま。２ 姿かたちが不気味なこと。また、そのさま。グロテスク。
会議,かいぎ,１ 関係者が集まって相談をし、物事を決定すること。また、その集まり。２ ある事柄を評議する機関・組織。
懐疑,かいぎ,１ 疑いをいだくこと。２ 十分な根拠がないために、判断を保留・中止している状態。
階級,かいきゅう,１ 社会や組織の中での身分・地位などの段階。特に、軍隊での位。２ 生産手段や生産から得る利益などに関して対立する関係にある社会的集団。封建制下の領主と農奴、資本主義社会における資本家と労働者など。 ３ 一定の社会で、身分・職業・学歴・財産などを同じくする人々によって形成される集団。階層。 ４ 統計資料を、調べる内容に応じて、ある一定の範囲でいくつかに分けて表（度数分布表）をつくる時の各区間。５ 物事の順序。ふむべき段階。
快挙,かいきょ,胸のすくような、すばらしい行為。痛快な行動。
改行,かいぎょう,文章の中で行を新しくすること。行を変えること。また、そのように活字を組むこと。
開業,かいぎょう,１ 新しく事業や商売を始めること。２ 事業や商売をしていること。３ 星新一のショートショート作品。エヌ氏の遊園地に収録。
解禁,かいきん,法律などで禁止していたことを解くこと。
皆勤,かいきん,一定期間内を、指定の休日以外は1日も休まずに出席・出勤すること。無欠勤。無欠席。
開襟,かいきん,１ 襟(えり)を開くこと。また、開くようにした襟。２ 「開襟シャツ」の略。３ 自分の心中を他人に打ち開けること。
会計,かいけい,１ 代金の支払い。勘定。２ 金銭の収支や物品・不動産の増減など財産の変動、または損益の発生を貨幣単位によって記録・計算・整理し、管理および報告する行為。また、これに関する制度。
解決,かいけつ,１ 問題のある事柄や、ごたごたした事件などを、うまく処理すること。また、かたづくこと。２ 疑問のあるところを解きほぐして、納得のいくようにすること。また、納得のいくようになること。３ 星新一のショートショート作品。宇宙のあいさつに収録。
会見,かいけん,改まった形で人に会うこと。公式な場合に用いられる。
解雇,かいこ,使用者側から雇用契約を解除すること。首にすること。
懐古,かいこ,昔のことをなつかしく思うこと。懐旧。
介護,かいご,病人などを介抱し看護すること。
回航,かいこう,１ 船を目的の港に向かわせること。２ あちこちの港を巡る航海。
怪光,かいこう,正体のわからない、怪しい光。不思議な光。
開口,かいこう,１ 口を開くこと。ものを言い始めること。２ 外に向かって開いていること。３ 能で、1曲の最初の謡いだしの部分。かいこ。
開孔,かいこう,穴を開けること。また、開けた穴。
開講,かいこう,講義や講習を始めること。また、講義が始まること。
邂逅,かいこう,思いがけなく出あうこと。偶然の出あい。めぐりあい。
会合,かいごう,１ 相談・討議などのために人が寄り集まること。また、その集まり。寄り合い。２ 太陽と惑星との黄経が等しくなる時刻およびその現象。内惑星（水星および金星）については、太陽に対して内側にある時を内合、外側にある時を外合という。３ 同種の分子またはイオンが集まって、水素結合や分子間力などの比較的弱い結び付きにより、一つの分子またはイオンのように動くこと。
戒告,かいこく,１ 過失・失態・非行などを強く戒めること。２ 公務員などの職務上の義務違反に対する懲戒処分の一。本人に将来を戒める旨の申し渡しをする。もと「譴責(けんせき)」といった。３ 行政上の義務の履行を催告する通知行為。代執行の前提となるもの。
開墾,かいこん,山野を切り開いて農耕できる田畑にすること。
開梱,かいこん,梱包された荷物を開くこと。
階差,かいさ,ある数列で、隣り合う項について、次にある項から前の項を引いた差。
開催,かいさい,集会や催し物を開き行うこと。
介在,かいざい,二つのものの間にはさまってあること。両者の間に存在すること。
開作,かいさく,土地を開墾して作物を植えつけること。また、その田や畑。
改札,かいさつ,１ 駅の出入り口や列車内で、乗客の切符などを調べること。２ 「改札口」の略。
開札,かいさつ,入札した箱を開いて、札(ふだ)を調べること。
解散,かいさん,１ 集会・行事などが終わって、集まっていた人が分かれてばらばらになること。散会。２ 会社・法人・結社などの団体組織を一定の手続きにより解消させること。３ 議会の全議員に対し、任期満了前に議員の資格を失わせること。国会では衆議院のみに認められ、内閣不信任案を可決、または信任案を否決したときは、内閣は総辞職するか衆議院を解散しなければならない。また、憲法第七条に基づいて、内閣の裁量による衆議院の解散が行われる。地方公共団体の議会では、有権者の請求による場合、議会が長に対して不信任決議をした場合などに行われる。
海産,かいさん,１ 海でとれること。また、海でとれたもの。２ 船舶所有者などが、一定の種類の債務の免責任を得るために、債権者に委付できる財産の総称。船舶・運送賃・損害賠償請求権など。
開始,かいし,始めること。また、始まること。
怪事,かいじ,不思議な出来事。奇怪な事件。
開示,かいじ,１ はっきり示すこと。２ 説き明かし示すこと。教えさとすこと。
会社,かいしゃ,１ 会社法に基づいて設立された法人。株式会社・合名会社・合資会社・合同会社の4種がある。２ 同じ目的で物事を行う集団。結社。
解釈,かいしゃく,１ 言葉や文章の意味・内容を解きほぐして明らかにすること。また、その説明。２ 物事や人の言動などについて、自分なりに考え理解すること。
会衆,かいしゅう,会合・集会などに寄り集まった人々。
回収,かいしゅう,１ 一度配った物や使った物などを、また集めること。２ 人工衛星・宇宙船などを地上に帰還させること。
改修,かいしゅう,道路・建物などの悪い部分を直すこと。
怪獣,かいじゅう,１ 正体の知れない不思議な動物。２ 多く恐竜に模して創作した、巨大な動物。
懐柔,かいじゅう,うまく扱って、自分の思う通りに従わせること。
改悛,かいしゅん,犯した悪事や過ちを悔い改め、心を入れ替えること。改心。改悟。悔悛。
介助,かいじょ,そばに付き添って動作などを手助けすること。介添え。
解除,かいじょ,１ 今まであった制限・禁止、あるいは特別の状態などをなくして、もとの状態に戻すこと。２ 法律で、契約当事者の一方の意思表示によって、成立している契約を初めからなかったものとすること。
解消,かいしょう,今までの状態や関係、約束などが消えてなくなること。また、それらをなくすこと。
快勝,かいしょう,あざやかに、またはあっさりと、気持ちよく勝つこと。
会場,かいじょう,会合・催し物・集会などを開く場所。
開場,かいじょう,１ 劇場や会場などを開いて人を入場させること。２ 新しい建物・施設などを公開すること。
会食,かいしょく,人が集まって一緒に食事をすること。
解職,かいしょく,その職を辞めさせること。免職。
会心,かいしん,１ 心にかなうこと。期待どおりにいって満足すること。２ 納得すること。会得すること。
回診,かいしん,１ 病院で、医師が病室を回って患者を診察すること。２ 医者が患者の家へ診察・治療に行くこと。往診。
改心,かいしん,今までの行いを反省し、心を改めること。改悛(かいしゅん)。
改新,かいしん,１ 物事を改めて新しくすること。革新。２ 年の初め。
怪人,かいじん,正体不明の、不思議な人物。
灰塵,かいじん,灰と塵(ちり)。取るに足りないもの、価値のないもののたとえ。
回数,かいすう,ある物事が繰り返し行われた数。または、繰り返し起こる数。度数。
快晴,かいせい,空が気持ちよく晴れ渡ること。たいへん天気がよいこと。
改正,かいせい,不適当なところや、不備な点を改めること。主に、規則・規約・法令などについて使う。
解析,かいせき,１ 事物の構成要素を細かく理論的に調べることによって、その本質を明らかにすること。２ 数学的論法の一。Aの事柄を証明するために、Aが成立するためにはBが成立しなければならないことを示し、Bが成立するためにCが成立しなければならないことを示し、以下順次これを繰り返して既知の事柄に帰着させること。３ 微分積分学とそれから発展した数学の諸分科の総称。微分積分学・微分方程式論・積分方程式論・実関数論・複素関数論など。
解説,かいせつ,物事の要点・意味などをわかりやすく説明すること。また、その説明。
開設,かいせつ,新しい施設や設備などをこしらえること。また、新たにその運用を開始すること。
会戦,かいせん,敵味方双方の多数の軍勢が出あって戦うこと。また、大規模な陸上戦。
回線,かいせん,１ 電信・電話をつなぐ線。２ 電気回路のこと。
海鮮,かいせん,海で獲れた新鮮な魚介類。
改善,かいぜん,１ 悪いところを改めてよくすること。２ 星新一のショートショート作品。地球から来た男に収録。
会葬,かいそう,葬式に参列して、弔意を表すこと。
回想,かいそう,かつて経験したことを思いめぐらすこと。過去のことをふりかえって思いおこすこと。
回送,かいそう,１ 一度送られてきたものを、改めて他の場所に送ること。転送。２ 電車やバスなどを、空車で他の場所へ動かすこと。３ 他の図書館から、予約者が受け取りを希望した図書館に資料を送ること。移送。
快走,かいそう,気持ちがよいほど速く走ること。
改装,かいそう,１ 建物の内部や外の構えを直すこと。模様替え。新装。２ 荷造りや包装をし直すこと。３ 本の装丁を新しいものに変えること。
解像,かいぞう,レンズを通して像を細部まで写し出すこと。
改造,かいぞう,建物・機械・組織などをつくり直すこと。別の用途にかなうようにつくりかえること。
快足,かいそく,１ きわめて足の速いこと。また、速く走れる足。２ ここちよく満ち足りること。また、その状態。
解体,かいたい,１ まとまっているもの、組み立ててあるものを、分解すること。また、ばらばらになること。２ 組織をこわして、その機能を失わせること。また、組織がばらばらになって機能を失うこと。３ からだを解剖すること。ふわけ。
改題,かいだい,題名を変えること。
開拓,かいたく,１ 山林・原野などを切り開いて田畑や居住地・道路をつくること。開墾。２ 新しい分野・領域・進路などを切り開くこと。
快諾,かいだく,依頼や申し入れを快く承諾すること。
会談,かいだん,会って話し合うこと。また、その話し合い。
