name,reading,meaning
他愛,たあい,自分のことよりもまず他人の幸福や利益を考えること。
他意,たい,１ ほかの考え。別の意味。隠された意図。２ 裏切り心。二心。
耐圧,たいあつ,圧力にたえること。
対案,たいあん,相手の案や、もとの案に対して出す別の案。
大安,たいあん,１ だいあんともいう。大安日の略。陰陽道で暦の六曜の一つ。吉日で，旅立ち，移転，結婚など万事によしとされる。２ 朝鮮民主主義人民共和国，平安南道の大同江下流にある工業都市。電気機械工場があり，大型発電機，変圧器，電車などを生産する。1961年に大安電機工場に対する金日成主席の現地指導により大安システム（新しい型の社会主義工場管理システム）が導入されたことで知られる。
体位,たいい,１ 体格や運動能力・健康状態などを総合してとらえられる、からだの強さ。２ 何かをするときのからだの位置・姿勢。
退位,たいい,国王や皇帝などがその位をしりぞくこと。
大意,たいい,１ 文章で、言おうとしている要点。大体の意味。おおよその趣旨。２ 雄大な考え、または意図。大志。
体育,たいいく,知育・徳育に対して、適切な運動の実践を通して身体の健全な発達を促し、運動能力や健康な生活を営む態度などを養うこと
退院,たいいん,１ 入院していた患者が、病状が回復して病院から出ること。２ 議員が議院から退出すること。３ 住職がその地位を退いて隠居すること。４ 江戸時代、僧に科した刑罰。その職を解いて寺から退去させること。刑の宣告を受けてから一度寺に立ち帰ることができる。５ 星新一のショートショート作品。ご依頼の件に収録。
隊員,たいいん,隊に所属している人。隊を構成する人。
体液,たいえき,動物の体内を満たしている液体の総称。脊椎動物では血液・リンパ・組織液に分けられる。
退役,たいえき,１ 将校・准士官で後備役が満期になり、また傷病などのため兵役を退くこと。２ 艦船が任務・運用を終えること。
対応,たいおう,１ 同種の二つのものが向かい合い、対(つい)になっていること。２ ある物事が、他の範疇(はんちゅう)に属する物事と、対立・相当する関係にあること。３ 互いにつりあいがとれていること。４ 周囲の状況などに合わせて事をすること。５ 二つの集合A、Bがあって、Aのどの要素にも、Bの要素が少なくとも一つ定まる規則があること。ふつう、AからBへの対応という。
体温,たいおん,動物体の温度。体内の物質代謝の反応によって生じ、定温動物ではほぼ一定、変温動物では外界の温度とともに変化する。
対価,たいか,他人に財産・労力などを提供した報酬として受け取る財産上の利益。
