name,reading,meaning
座位,ざい,１ 座席の位置。座席の順序。席次。 ２ すわった姿。 ３ 染色体やゲノム上における、遺伝子以外のDNA配列が占める位置。遺伝子の場合は遺伝子座とよばれる。ローカス。
罪悪,ざいあく,道徳や宗教の教えに背くこと。つみ。
在位,ざいい,帝王の位にいること。また、ある地位にいること。また、その期間。
財貨,ざいか,１ 金銭と品物。財物。２ 経済学で、人間の欲望を満たし、人間が支配・処分することのできるもの。有り余るほどあって売買の対象とならないものを自由財、欲望に比して希少性をもち、その獲得になんらかの努力を必要とし、売買の対象となるものを経済財という。財貨。
財界,ざいかい,大企業を中心とした実業家が構成している社会。経済界。
在外,ざいがい,外国に居住・滞在していること。また、外国にあること。
在学,ざいがく,学生・生徒・児童として学校に籍を置くこと。
在郷,ざいきょう,郷里にいること。ざいごう。
在勤,ざいきん,現在、ある勤務に就いていること。特に、地方などで勤務に就いていること。在職。在任。
在家,ざいけ,１ 出家せずに、普通の生活をしながら仏教に帰依すること。また、その人。在俗。２ いなかの家。ざいか。３ 中世、荘園・公領で、農民と耕地とを一体のものとして賦課の対象としたもの。東国や九州に多くみられる。
財形,ざいけい,勤労者の財産形成促進を目的として設けられた貯蓄制度。
財源,ざいげん,収入を生み出すもと。
在庫,ざいこ,１ 商品が倉庫などにあること。また、その商品。２ 原材料・仕掛品・製品などが企業に保有されていること。また、それらの財貨。
在校,ざいこう,１ 学生・生徒・児童として、学校に籍が置いてあること。在学。２ 教師や学生・生徒・児童が学校内にいること。
財産,ざいさん,１ 個人や団体などの所有している、金銭・有価証券や土地・家屋・物品などの金銭的な価値のあるものの総称。資産。２ ある主体に属する積極財産（資産）と消極財産（負債）の総体。３ あるものにとって、価値あるもの。金銭的価値にも精神的価値にもいう。
在室,ざいしつ,室内にいること。
材質,ざいしつ,１ 木材の性質。２ 材料としての性質。
材種,ざいしゅ,１ 木材を用途・形・寸法などに応じて区分した種類。２ 材料の種類。
在住,ざいじゅう,その地に住んでいること。
在所,ざいしょ,１ 人が住んでいる所。また、物が存在する所。ありか。２ 郷里。くにもと。３ 都会から離れた地方。田舎。ざい。
罪状,ざいじょう,問われている罪の具体的な事実。
在職,ざいしょく,ある職務についていること。
財政,ざいせい,１ 国または地方公共団体が、その存立を維持し活動するために必要な財力を取得し、これを管理・処分する一切の作用。２ 個人・家庭・団体などの経済状態。かねまわり。
在席,ざいせき,１ 職場の自分の席についていること。２ 職場に自分の席があること。在勤。
在籍,ざいせき,団体・学校などに属する者として登録されていること。
罪跡,ざいせき,犯罪の証拠となる痕跡(こんせき)。
座板,ざいた,１ いすの、腰を下ろす部分の板。２ 床板(ゆかいた)。
在宅,ざいたく,外出しないで自分の家にいること。
財団,ざいだん,１ 一定の目的のために結合された財産の集合体。抵当権の目的とされる工場財団・鉱業財団など。２ 「財団法人」の略。
在地,ざいち,１ 住んでいる土地。２ 田舎の土地。在所。在郷。
在中,ざいちゅう,中に書類・金品などが入っていること。また、そのことを封筒や包みなどの表に示す語。
在日,ざいにち,外国人が日本に滞在、または居住していること。
在任,ざいにん,任務に就いていること。また、任地にあること。
罪人,ざいにん,罪を犯した人。つみびと。
在否,ざいひ,いるかいないかということ。在宅と不在。
財物,ざいぶつ,１ 金銭と品物。財貨。たから。ざいもつ。２ 刑法上、窃盗・強盗・詐欺・恐喝・横領などの財産犯の客体となるもの。
財宝,ざいほう,財産や宝物。財産となる価値の高い物品。宝物。
在民,ざいみん,人民の側にあること。国民がもっていること。
財務,ざいむ,財政に関する事務。
罪名,ざいめい,１ 殺人罪・放火罪のように、犯罪の種類を表す名称。２ その罪を犯したといううわさ。
材木,ざいもく,樹木を切り出して建築物・製品材料などに用いられるようにしたもの。ふつう、角板や板の形をしているものをいう。木材。
在野,ざいや,１ 公職に就かないで民間にいること。２ 与党に対して、野党の立場にあること。
在来,ざいらい,これまであったことや、行われていたこと。また、そのもの。今までどおり。
在留,ざいりゅう,ある期間、ある土地にとどまって住むこと。特に、外国に居住する場合にいう。
