unicode,character
U+4e00,一
U+53f3,右
U+96e8,雨
U+5186,円
U+738b,王
U+97f3,音
U+4e0b,下
U+706b,火
U+82b1,花
U+8c9d,貝
U+5b66,学
U+6c17,気
U+4f11,休
U+7389,玉
U+91d1,金
U+4e5d,九
U+7a7a,空
U+6708,月
U+72ac,犬
U+898b,見
U+4e94,五
U+53e3,口
U+6821,校
U+5de6,左
U+4e09,三
U+5c71,山
U+56db,四
U+5b50,子
U+7cf8,糸
U+5b57,字
U+8033,耳
U+4e03,七
U+8eca,車
U+624b,手
U+5341,十
U+51fa,出
U+5973,女
U+5c0f,小
U+4e0a,上
U+68ee,森
U+4eba,人
U+6c34,水
U+6b63,正
U+751f,生
U+9752,青
U+77f3,石
U+8d64,赤
U+5148,先
U+5343,千
U+5ddd,川
U+65e9,早
U+8349,草
U+8db3,足
U+6751,村
U+5927,大
U+7537,男
U+7af9,竹
U+4e2d,中
U+866b,虫
U+753a,町
U+5929,天
U+7530,田
U+571f,土
U+4e8c,二
U+65e5,日
U+5165,入
U+5e74,年
U+767d,白
U+516b,八
U+767e,百
U+6587,文
U+672c,本
U+540d,名
U+6728,木
U+76ee,目
U+5915,夕
U+7acb,立
U+529b,力
U+6797,林
U+516d,六
